trial0000011, 000450, CZIP, 2959, 12, 246.583333, GVWY, 1337, 4, 334.250000, 162, 197, 
trial0000012, 000450, CZIP, 1869, 12, 155.750000, GVWY, 1613, 4, 403.250000, N, N, 
trial0000013, 000450, CZIP, 2969, 12, 247.416667, GVWY, 1343, 4, 335.750000, 116, N, 
trial0000014, 000450, CZIP, 2752, 12, 229.333333, GVWY, 1264, 4, 316.000000, 152, N, 
trial0000015, 000450, CZIP, 1722, 12, 143.500000, GVWY, 1520, 4, 380.000000, 166, 188, 
trial0000016, 000450, CZIP, 3509, 12, 292.416667, GVWY, 1340, 4, 335.000000, 99, 253, 
trial0000017, 000450, CZIP, 3474, 12, 289.500000, GVWY, 1244, 4, 311.000000, 160, N, 
trial0000018, 000450, CZIP, 2516, 12, 209.666667, GVWY, 1466, 4, 366.500000, 162, N, 
trial0000019, 000450, CZIP, 3190, 12, 265.833333, GVWY, 1187, 4, 296.750000, N, 180, 
trial0000020, 000450, CZIP, 3023, 12, 251.916667, GVWY, 1482, 4, 370.500000, N, N, 
trial0000021, 000450, CZIP, 2446, 12, 203.833333, GVWY, 1429, 4, 357.250000, N, 62, 
trial0000022, 000450, CZIP, 2553, 12, 212.750000, GVWY, 1371, 4, 342.750000, 163, 164, 
trial0000023, 000450, CZIP, 1625, 12, 135.416667, GVWY, 1764, 4, 441.000000, N, 164, 
trial0000024, 000450, CZIP, 2204, 12, 183.666667, GVWY, 1597, 4, 399.250000, 155, 178, 
trial0000025, 000450, CZIP, 2460, 12, 205.000000, GVWY, 1415, 4, 353.750000, N, N, 
trial0000026, 000450, CZIP, 2587, 12, 215.583333, GVWY, 1305, 4, 326.250000, 114, N, 
trial0000027, 000450, CZIP, 2940, 12, 245.000000, GVWY, 1533, 4, 383.250000, 67, N, 
trial0000028, 000450, CZIP, 1876, 12, 156.333333, GVWY, 1531, 4, 382.750000, 158, 307, 
trial0000029, 000450, CZIP, 2963, 12, 246.916667, GVWY, 1327, 4, 331.750000, N, 33, 
trial0000030, 000450, CZIP, 2785, 12, 232.083333, GVWY, 1389, 4, 347.250000, 107, N, 
trial0000031, 000450, CZIP, 3608, 12, 300.666667, GVWY, 1171, 4, 292.750000, N, 40, 
trial0000032, 000450, CZIP, 2058, 12, 171.500000, GVWY, 1506, 4, 376.500000, 161, 184, 
trial0000033, 000450, CZIP, 2615, 12, 217.916667, GVWY, 1273, 4, 318.250000, 130, N, 
trial0000034, 000450, CZIP, 3682, 12, 306.833333, GVWY, 1415, 4, 353.750000, N, N, 
trial0000035, 000450, CZIP, 3149, 12, 262.416667, GVWY, 1309, 4, 327.250000, 162, 180, 
trial0000036, 000450, CZIP, 2441, 12, 203.416667, GVWY, 1458, 4, 364.500000, 96, N, 
trial0000037, 000450, CZIP, 3181, 12, 265.083333, GVWY, 1358, 4, 339.500000, 57, N, 
trial0000038, 000450, CZIP, 1765, 12, 147.083333, GVWY, 1595, 4, 398.750000, N, N, 
trial0000039, 000450, CZIP, 3146, 12, 262.166667, GVWY, 1351, 4, 337.750000, N, N, 
trial0000040, 000450, CZIP, 3420, 12, 285.000000, GVWY, 1391, 4, 347.750000, 147, 251, 
