trial0000011, 000450, GVWY, 1470, 4, 367.500000, ZIP, 2600, 12, 216.666667, 155, N, 
trial0000012, 000450, GVWY, 1307, 4, 326.750000, ZIP, 3328, 12, 277.333333, N, 97, 
trial0000013, 000450, GVWY, 1361, 4, 340.250000, ZIP, 3337, 12, 278.083333, 165, 172, 
trial0000014, 000450, GVWY, 1455, 4, 363.750000, ZIP, 2785, 12, 232.083333, 89, N, 
trial0000015, 000450, GVWY, 1400, 4, 350.000000, ZIP, 2846, 12, 237.166667, 149, N, 
trial0000016, 000450, GVWY, 1312, 4, 328.000000, ZIP, 2590, 12, 215.833333, 115, 208, 
trial0000017, 000450, GVWY, 1274, 4, 318.500000, ZIP, 3233, 12, 269.416667, N, N, 
trial0000018, 000450, GVWY, 1374, 4, 343.500000, ZIP, 2474, 12, 206.166667, N, 68, 
trial0000019, 000450, GVWY, 1322, 4, 330.500000, ZIP, 2879, 12, 239.916667, N, N, 
trial0000020, 000450, GVWY, 1499, 4, 374.750000, ZIP, 2413, 12, 201.083333, 164, 182, 
trial0000021, 000450, GVWY, 1576, 4, 394.000000, ZIP, 2507, 12, 208.916667, 83, N, 
trial0000022, 000450, GVWY, 1272, 4, 318.000000, ZIP, 2686, 12, 223.833333, 164, 184, 
trial0000023, 000450, GVWY, 1312, 4, 328.000000, ZIP, 2750, 12, 229.166667, N, 71, 
trial0000024, 000450, GVWY, 1450, 4, 362.500000, ZIP, 2590, 12, 215.833333, N, 60, 
trial0000025, 000450, GVWY, 1455, 4, 363.750000, ZIP, 1635, 12, 136.250000, 163, 173, 
trial0000026, 000450, GVWY, 1270, 4, 317.500000, ZIP, 2936, 12, 244.666667, 76, 113, 
trial0000027, 000450, GVWY, 1321, 4, 330.250000, ZIP, 3241, 12, 270.083333, 68, 90, 
trial0000028, 000450, GVWY, 1507, 4, 376.750000, ZIP, 2942, 12, 245.166667, 127, N, 
trial0000029, 000450, GVWY, 1516, 4, 379.000000, ZIP, 2290, 12, 190.833333, 83, N, 
trial0000030, 000450, GVWY, 1379, 4, 344.750000, ZIP, 2877, 12, 239.750000, 157, 266, 
trial0000031, 000450, GVWY, 1622, 4, 405.500000, ZIP, 3036, 12, 253.000000, 163, 189, 
trial0000032, 000450, GVWY, 1365, 4, 341.250000, ZIP, 2756, 12, 229.666667, 159, 165, 
trial0000033, 000450, GVWY, 1667, 4, 416.750000, ZIP, 2629, 12, 219.083333, 158, 215, 
trial0000034, 000450, GVWY, 1325, 4, 331.250000, ZIP, 2818, 12, 234.833333, 71, 217, 
trial0000035, 000450, GVWY, 1610, 4, 402.500000, ZIP, 1935, 12, 161.250000, 165, 179, 
trial0000036, 000450, GVWY, 1368, 4, 342.000000, ZIP, 2861, 12, 238.416667, 114, N, 
trial0000037, 000450, GVWY, 1678, 4, 419.500000, ZIP, 1362, 12, 113.500000, 167, 174, 
trial0000038, 000450, GVWY, 1493, 4, 373.250000, ZIP, 2639, 12, 219.916667, 125, N, 
trial0000039, 000450, GVWY, 1368, 4, 342.000000, ZIP, 1272, 12, 106.000000, 161, 197, 
trial0000040, 000450, GVWY, 1193, 4, 298.250000, ZIP, 3256, 12, 271.333333, 157, 180, 
trial0000041, 000450, GVWY, 1278, 4, 319.500000, ZIP, 2665, 12, 222.083333, 164, 186, 
trial0000042, 000450, GVWY, 1583, 4, 395.750000, ZIP, 2383, 12, 198.583333, 108, 153, 
trial0000043, 000450, GVWY, 1400, 4, 350.000000, ZIP, 2294, 12, 191.166667, N, N, 
trial0000044, 000450, GVWY, 1499, 4, 374.750000, ZIP, 2184, 12, 182.000000, 162, N, 
trial0000045, 000450, GVWY, 1363, 4, 340.750000, ZIP, 1916, 12, 159.666667, N, 35, 
trial0000046, 000450, GVWY, 1119, 4, 279.750000, ZIP, 2889, 12, 240.750000, N, 42, 
trial0000047, 000450, GVWY, 1532, 4, 383.000000, ZIP, 2350, 12, 195.833333, N, 282, 
trial0000048, 000450, GVWY, 1659, 4, 414.750000, ZIP, 1875, 12, 156.250000, 158, 180, 
trial0000049, 000450, GVWY, 1424, 4, 356.000000, ZIP, 1978, 12, 164.833333, 157, 306, 
trial0000050, 000450, GVWY, 1551, 4, 387.750000, ZIP, 2134, 12, 177.833333, 164, 165, 
trial0000001, 000450, GVWY, 1964, 6, 327.333333, ZIP, 2395, 10, 239.500000, 92, 429, 
trial0000002, 000450, GVWY, 2202, 6, 367.000000, ZIP, 2166, 10, 216.600000, N, N, 
trial0000003, 000450, GVWY, 2042, 6, 340.333333, ZIP, 2111, 10, 211.100000, 167, 259, 
trial0000004, 000450, GVWY, 2263, 6, 377.166667, ZIP, 2255, 10, 225.500000, 129, N, 
trial0000005, 000450, GVWY, 2201, 6, 366.833333, ZIP, 2162, 10, 216.200000, 110, 172, 
trial0000006, 000450, GVWY, 1913, 6, 318.833333, ZIP, 3177, 10, 317.700000, 56, N, 
trial0000007, 000450, GVWY, 1990, 6, 331.666667, ZIP, 2911, 10, 291.100000, N, 171, 
trial0000008, 000450, GVWY, 2081, 6, 346.833333, ZIP, 1527, 10, 152.700000, 164, 263, 
trial0000009, 000450, GVWY, 2337, 6, 389.500000, ZIP, 1391, 10, 139.100000, 167, 182, 
trial0000010, 000450, GVWY, 1957, 6, 326.166667, ZIP, 2193, 10, 219.300000, 107, N, 
trial0000011, 000450, GVWY, 2229, 6, 371.500000, ZIP, 1621, 10, 162.100000, 169, 170, 
trial0000012, 000450, GVWY, 2172, 6, 362.000000, ZIP, 2074, 10, 207.400000, 167, 187, 
trial0000013, 000450, GVWY, 1823, 6, 303.833333, ZIP, 2784, 10, 278.400000, N, 33, 
trial0000014, 000450, GVWY, 1960, 6, 326.666667, ZIP, 2877, 10, 287.700000, N, N, 
trial0000015, 000450, GVWY, 2013, 6, 335.500000, ZIP, 2528, 10, 252.800000, N, 32, 
trial0000016, 000450, GVWY, 2250, 6, 375.000000, ZIP, 2335, 10, 233.500000, 161, 168, 
trial0000017, 000450, GVWY, 2008, 6, 334.666667, ZIP, 1917, 10, 191.700000, N, 34, 
trial0000018, 000450, GVWY, 1886, 6, 314.333333, ZIP, 3184, 10, 318.400000, 60, N, 
trial0000019, 000450, GVWY, 1817, 6, 302.833333, ZIP, 2524, 10, 252.400000, 163, 177, 
trial0000020, 000450, GVWY, 1807, 6, 301.166667, ZIP, 3041, 10, 304.100000, N, 204, 
trial0000021, 000450, GVWY, 2174, 6, 362.333333, ZIP, 2343, 10, 234.300000, N, 34, 
trial0000022, 000450, GVWY, 2162, 6, 360.333333, ZIP, 2290, 10, 229.000000, 160, N, 
trial0000023, 000450, GVWY, 1578, 6, 263.000000, ZIP, 2894, 10, 289.400000, 120, N, 
trial0000024, 000450, GVWY, 1845, 6, 307.500000, ZIP, 2562, 10, 256.200000, 156, 166, 
trial0000025, 000450, GVWY, 2036, 6, 339.333333, ZIP, 1735, 10, 173.500000, 148, 157, 
trial0000026, 000450, GVWY, 2307, 6, 384.500000, ZIP, 1588, 10, 158.800000, 95, N, 
