trial0000004, 000450, CZIP, 817, 4, 204.250000, ZIP, 2075, 12, 172.916667, 80, N, 
trial0000005, 000450, CZIP, 861, 4, 215.250000, ZIP, 2562, 12, 213.500000, N, 127, 
trial0000006, 000450, CZIP, 818, 4, 204.500000, ZIP, 2018, 12, 168.166667, 167, 186, 
trial0000007, 000450, CZIP, 729, 4, 182.250000, ZIP, 2712, 12, 226.000000, 144, 162, 
trial0000008, 000450, CZIP, 1173, 4, 293.250000, ZIP, 2570, 12, 214.166667, 73, N, 
trial0000009, 000450, CZIP, 672, 4, 168.000000, ZIP, 2027, 12, 168.916667, 164, 201, 
trial0000010, 000450, CZIP, 1203, 4, 300.750000, ZIP, 2539, 12, 211.583333, N, 44, 
trial0000011, 000450, CZIP, 685, 4, 171.250000, ZIP, 1816, 12, 151.333333, 164, 165, 
trial0000012, 000450, CZIP, 1120, 4, 280.000000, ZIP, 2214, 12, 184.500000, 155, 167, 
trial0000013, 000450, CZIP, 952, 4, 238.000000, ZIP, 2727, 12, 227.250000, N, 111, 
trial0000014, 000450, CZIP, 766, 4, 191.500000, ZIP, 2998, 12, 249.833333, 80, 83, 
trial0000015, 000450, CZIP, 625, 4, 156.250000, ZIP, 2203, 12, 183.583333, 159, 166, 
trial0000016, 000450, CZIP, 839, 4, 209.750000, ZIP, 3054, 12, 254.500000, N, 42, 
trial0000017, 000450, CZIP, 827, 4, 206.750000, ZIP, 2863, 12, 238.583333, N, 48, 
trial0000018, 000450, CZIP, 924, 4, 231.000000, ZIP, 2949, 12, 245.750000, 73, 91, 
trial0000019, 000450, CZIP, 745, 4, 186.250000, ZIP, 2640, 12, 220.000000, 142, 185, 
trial0000020, 000450, CZIP, 579, 4, 144.750000, ZIP, 2595, 12, 216.250000, 115, 188, 
trial0000021, 000450, CZIP, 743, 4, 185.750000, ZIP, 2616, 12, 218.000000, N, N, 
trial0000022, 000450, CZIP, 690, 4, 172.500000, ZIP, 2311, 12, 192.583333, 152, 164, 
trial0000023, 000450, CZIP, 772, 4, 193.000000, ZIP, 2072, 12, 172.666667, 137, 196, 
trial0000024, 000450, CZIP, 736, 4, 184.000000, ZIP, 3134, 12, 261.166667, 72, N, 
trial0000025, 000450, CZIP, 916, 4, 229.000000, ZIP, 3604, 12, 300.333333, N, N, 
trial0000026, 000450, CZIP, 798, 4, 199.500000, ZIP, 2832, 12, 236.000000, 144, 158, 
trial0000027, 000450, CZIP, 1083, 4, 270.750000, ZIP, 2828, 12, 235.666667, N, N, 
trial0000028, 000450, CZIP, 941, 4, 235.250000, ZIP, 2435, 12, 202.916667, 109, 174, 
trial0000029, 000450, CZIP, 833, 4, 208.250000, ZIP, 3267, 12, 272.250000, 75, N, 
trial0000030, 000450, CZIP, 1228, 4, 307.000000, ZIP, 2534, 12, 211.166667, 101, N, 
trial0000031, 000450, CZIP, 1040, 4, 260.000000, ZIP, 2817, 12, 234.750000, N, 119, 
trial0000032, 000450, CZIP, 936, 4, 234.000000, ZIP, 2972, 12, 247.666667, 42, N, 
trial0000033, 000450, CZIP, 791, 4, 197.750000, ZIP, 2922, 12, 243.500000, N, 310, 
trial0000034, 000450, CZIP, 418, 4, 104.500000, ZIP, 2073, 12, 172.750000, 166, N, 
trial0000035, 000450, CZIP, 812, 4, 203.000000, ZIP, 1479, 12, 123.250000, 164, 169, 
trial0000036, 000450, CZIP, 1115, 4, 278.750000, ZIP, 2086, 12, 173.833333, N, 185, 
trial0000037, 000450, CZIP, 429, 4, 107.250000, ZIP, 2075, 12, 172.916667, 153, 164, 
trial0000038, 000450, CZIP, 871, 4, 217.750000, ZIP, 2364, 12, 197.000000, N, 122, 
trial0000039, 000450, CZIP, 773, 4, 193.250000, ZIP, 2685, 12, 223.750000, N, 75, 
trial0000040, 000450, CZIP, 696, 4, 174.000000, ZIP, 2675, 12, 222.916667, N, 161, 
trial0000041, 000450, CZIP, 1035, 4, 258.750000, ZIP, 2496, 12, 208.000000, 69, N, 
trial0000042, 000450, CZIP, 1131, 4, 282.750000, ZIP, 2173, 12, 181.083333, 156, 169, 
trial0000043, 000450, CZIP, 1140, 4, 285.000000, ZIP, 2651, 12, 220.916667, N, 69, 
trial0000044, 000450, CZIP, 903, 4, 225.750000, ZIP, 2739, 12, 228.250000, N, 163, 
trial0000045, 000450, CZIP, 931, 4, 232.750000, ZIP, 2642, 12, 220.166667, 109, N, 
trial0000046, 000450, CZIP, 689, 4, 172.250000, ZIP, 3081, 12, 256.750000, N, 34, 
trial0000047, 000450, CZIP, 1092, 4, 273.000000, ZIP, 2501, 12, 208.416667, N, N, 
trial0000048, 000450, CZIP, 717, 4, 179.250000, ZIP, 2579, 12, 214.916667, 64, N, 
trial0000049, 000450, CZIP, 652, 4, 163.000000, ZIP, 2304, 12, 192.000000, 159, 163, 
trial0000050, 000450, CZIP, 655, 4, 163.750000, ZIP, 3096, 12, 258.000000, N, N, 
trial0000001, 000450, CZIP, 887, 6, 147.833333, ZIP, 1933, 10, 193.300000, 160, 194, 
trial0000002, 000450, CZIP, 1396, 6, 232.666667, ZIP, 1852, 10, 185.200000, 151, 167, 
trial0000003, 000450, CZIP, 1153, 6, 192.166667, ZIP, 2063, 10, 206.300000, 165, 222, 
trial0000004, 000450, CZIP, 1610, 6, 268.333333, ZIP, 2492, 10, 249.200000, 112, 117, 
trial0000005, 000450, CZIP, 1041, 6, 173.500000, ZIP, 2098, 10, 209.800000, 158, 167, 
trial0000006, 000450, CZIP, 1605, 6, 267.500000, ZIP, 2259, 10, 225.900000, 72, N, 
trial0000007, 000450, CZIP, 1031, 6, 171.833333, ZIP, 2075, 10, 207.500000, N, 124, 
trial0000008, 000450, CZIP, 1446, 6, 241.000000, ZIP, 2289, 10, 228.900000, N, 56, 
trial0000009, 000450, CZIP, 1427, 6, 237.833333, ZIP, 1762, 10, 176.200000, 156, N, 
trial0000010, 000450, CZIP, 1562, 6, 260.333333, ZIP, 2377, 10, 237.700000, 94, 106, 
trial0000011, 000450, CZIP, 1446, 6, 241.000000, ZIP, 2160, 10, 216.000000, N, N, 
trial0000012, 000450, CZIP, 1072, 6, 178.666667, ZIP, 1829, 10, 182.900000, N, 245, 
trial0000013, 000450, CZIP, 1114, 6, 185.666667, ZIP, 2280, 10, 228.000000, N, 157, 
trial0000014, 000450, CZIP, 1666, 6, 277.666667, ZIP, 1932, 10, 193.200000, 117, N, 
trial0000015, 000450, CZIP, 787, 6, 131.166667, ZIP, 1374, 10, 137.400000, 165, 185, 
trial0000016, 000450, CZIP, 1120, 6, 186.666667, ZIP, 1985, 10, 198.500000, 147, 175, 
trial0000017, 000450, CZIP, 1401, 6, 233.500000, ZIP, 2562, 10, 256.200000, 93, N, 
trial0000018, 000450, CZIP, 1061, 6, 176.833333, ZIP, 2220, 10, 222.000000, 120, N, 
trial0000019, 000450, CZIP, 1421, 6, 236.833333, ZIP, 2476, 10, 247.600000, 66, N, 
trial0000020, 000450, CZIP, 1027, 6, 171.166667, ZIP, 2154, 10, 215.400000, 154, N, 
trial0000021, 000450, CZIP, 1270, 6, 211.666667, ZIP, 2096, 10, 209.600000, N, 62, 
trial0000022, 000450, CZIP, 1864, 6, 310.666667, ZIP, 2295, 10, 229.500000, 81, 89, 
trial0000023, 000450, CZIP, 1568, 6, 261.333333, ZIP, 2173, 10, 217.300000, 161, 172, 
trial0000024, 000450, CZIP, 1001, 6, 166.833333, ZIP, 1885, 10, 188.500000, 166, 183, 
trial0000025, 000450, CZIP, 1247, 6, 207.833333, ZIP, 1543, 10, 154.300000, 162, 164, 
trial0000026, 000450, CZIP, 1456, 6, 242.666667, ZIP, 1560, 10, 156.000000, 128, 153, 
trial0000027, 000450, CZIP, 1368, 6, 228.000000, ZIP, 2710, 10, 271.000000, 75, N, 
trial0000028, 000450, CZIP, 1380, 6, 230.000000, ZIP, 2072, 10, 207.200000, 134, N, 
trial0000029, 000450, CZIP, 1240, 6, 206.666667, ZIP, 2014, 10, 201.400000, N, N, 
trial0000030, 000450, CZIP, 1620, 6, 270.000000, ZIP, 2665, 10, 266.500000, N, 40, 
trial0000031, 000450, CZIP, 1448, 6, 241.333333, ZIP, 2099, 10, 209.900000, 86, 90, 
trial0000032, 000450, CZIP, 1376, 6, 229.333333, ZIP, 2310, 10, 231.000000, 98, 172, 
trial0000033, 000450, CZIP, 1579, 6, 263.166667, ZIP, 2003, 10, 200.300000, N, N, 
trial0000034, 000450, CZIP, 1019, 6, 169.833333, ZIP, 2330, 10, 233.000000, N, 40, 
trial0000035, 000450, CZIP, 1630, 6, 271.666667, ZIP, 2393, 10, 239.300000, N, 89, 
trial0000036, 000450, CZIP, 969, 6, 161.500000, ZIP, 1859, 10, 185.900000, N, N, 
trial0000037, 000450, CZIP, 1681, 6, 280.166667, ZIP, 1841, 10, 184.100000, N, N, 
trial0000038, 000450, CZIP, 1296, 6, 216.000000, ZIP, 2177, 10, 217.700000, 132, N, 
trial0000039, 000450, CZIP, 1530, 6, 255.000000, ZIP, 2440, 10, 244.000000, N, N, 
trial0000040, 000450, CZIP, 1051, 6, 175.166667, ZIP, 2094, 10, 209.400000, 163, 164, 
trial0000041, 000450, CZIP, 1159, 6, 193.166667, ZIP, 1951, 10, 195.100000, 114, 194, 
trial0000042, 000450, CZIP, 1463, 6, 243.833333, ZIP, 2189, 10, 218.900000, N, 46, 
trial0000043, 000450, CZIP, 913, 6, 152.166667, ZIP, 1763, 10, 176.300000, 157, N, 
trial0000044, 000450, CZIP, 1514, 6, 252.333333, ZIP, 2343, 10, 234.300000, 136, N, 
trial0000045, 000450, CZIP, 1143, 6, 190.500000, ZIP, 2558, 10, 255.800000, 140, 164, 
trial0000046, 000450, CZIP, 1071, 6, 178.500000, ZIP, 2545, 10, 254.500000, 154, 166, 
trial0000047, 000450, CZIP, 1204, 6, 200.666667, ZIP, 2160, 10, 216.000000, N, 55, 
trial0000048, 000450, CZIP, 1503, 6, 250.500000, ZIP, 2640, 10, 264.000000, N, 55, 
