trial0000047, 000450, CZIP, 481, 2, 240.500000, GVWY, 700, 2, 350.000000, ZIP, 4477, 20, 223.850000, N, 45, 
trial0000048, 000450, CZIP, 419, 2, 209.500000, GVWY, 795, 2, 397.500000, ZIP, 3687, 20, 184.350000, 159, 170, 
trial0000049, 000450, CZIP, 343, 2, 171.500000, GVWY, 727, 2, 363.500000, ZIP, 4445, 20, 222.250000, 158, 170, 
trial0000050, 000450, CZIP, 421, 2, 210.500000, GVWY, 751, 2, 375.500000, ZIP, 3736, 20, 186.800000, N, 60, 
trial0000001, 000450, CZIP, 809, 4, 202.250000, GVWY, 822, 2, 411.000000, ZIP, 4251, 18, 236.166667, 154, N, 
trial0000002, 000450, CZIP, 757, 4, 189.250000, GVWY, 752, 2, 376.000000, ZIP, 2864, 18, 159.111111, 150, 162, 
trial0000003, 000450, CZIP, 937, 4, 234.250000, GVWY, 698, 2, 349.000000, ZIP, 4590, 18, 255.000000, 126, 135, 
trial0000004, 000450, CZIP, 907, 4, 226.750000, GVWY, 541, 2, 270.500000, ZIP, 4314, 18, 239.666667, N, 137, 
trial0000005, 000450, CZIP, 1271, 4, 317.750000, GVWY, 759, 2, 379.500000, ZIP, 4972, 18, 276.222222, 160, 234, 
trial0000006, 000450, CZIP, 923, 4, 230.750000, GVWY, 621, 2, 310.500000, ZIP, 4096, 18, 227.555556, N, 62, 
trial0000007, 000450, CZIP, 1209, 4, 302.250000, GVWY, 724, 2, 362.000000, ZIP, 4155, 18, 230.833333, N, N, 
trial0000008, 000450, CZIP, 671, 4, 167.750000, GVWY, 634, 2, 317.000000, ZIP, 4151, 18, 230.611111, N, 112, 
trial0000009, 000450, CZIP, 893, 4, 223.250000, GVWY, 684, 2, 342.000000, ZIP, 3617, 18, 200.944444, 166, 199, 
trial0000010, 000450, CZIP, 582, 4, 145.500000, GVWY, 506, 2, 253.000000, ZIP, 3337, 18, 185.388889, 160, 168, 
trial0000011, 000450, CZIP, 826, 4, 206.500000, GVWY, 640, 2, 320.000000, ZIP, 3668, 18, 203.777778, 164, 172, 
trial0000012, 000450, CZIP, 941, 4, 235.250000, GVWY, 706, 2, 353.000000, ZIP, 4288, 18, 238.222222, 62, N, 
trial0000013, 000450, CZIP, 889, 4, 222.250000, GVWY, 631, 2, 315.500000, ZIP, 3229, 18, 179.388889, 168, 169, 
trial0000014, 000450, CZIP, 1031, 4, 257.750000, GVWY, 712, 2, 356.000000, ZIP, 4046, 18, 224.777778, N, 63, 
trial0000015, 000450, CZIP, 631, 4, 157.750000, GVWY, 838, 2, 419.000000, ZIP, 3894, 18, 216.333333, N, 335, 
trial0000016, 000450, CZIP, 751, 4, 187.750000, GVWY, 824, 2, 412.000000, ZIP, 3808, 18, 211.555556, 106, N, 
trial0000017, 000450, CZIP, 731, 4, 182.750000, GVWY, 793, 2, 396.500000, ZIP, 4634, 18, 257.444444, N, 108, 
trial0000018, 000450, CZIP, 921, 4, 230.250000, GVWY, 714, 2, 357.000000, ZIP, 4401, 18, 244.500000, 155, N, 
trial0000019, 000450, CZIP, 1181, 4, 295.250000, GVWY, 669, 2, 334.500000, ZIP, 3998, 18, 222.111111, N, N, 
trial0000020, 000450, CZIP, 1089, 4, 272.250000, GVWY, 790, 2, 395.000000, ZIP, 3629, 18, 201.611111, 156, N, 
trial0000021, 000450, CZIP, 1040, 4, 260.000000, GVWY, 779, 2, 389.500000, ZIP, 4279, 18, 237.722222, 58, N, 
trial0000022, 000450, CZIP, 842, 4, 210.500000, GVWY, 820, 2, 410.000000, ZIP, 3544, 18, 196.888889, 155, N, 
trial0000023, 000450, CZIP, 956, 4, 239.000000, GVWY, 612, 2, 306.000000, ZIP, 4515, 18, 250.833333, N, 41, 
trial0000024, 000450, CZIP, 792, 4, 198.000000, GVWY, 623, 2, 311.500000, ZIP, 3227, 18, 179.277778, 163, 181, 
trial0000025, 000450, CZIP, 809, 4, 202.250000, GVWY, 605, 2, 302.500000, ZIP, 4440, 18, 246.666667, N, 59, 
trial0000026, 000450, CZIP, 1132, 4, 283.000000, GVWY, 748, 2, 374.000000, ZIP, 3579, 18, 198.833333, 154, 160, 
trial0000027, 000450, CZIP, 903, 4, 225.750000, GVWY, 649, 2, 324.500000, ZIP, 4178, 18, 232.111111, N, N, 
trial0000028, 000450, CZIP, 1025, 4, 256.250000, GVWY, 628, 2, 314.000000, ZIP, 3205, 18, 178.055556, 63, N, 
trial0000029, 000450, CZIP, 801, 4, 200.250000, GVWY, 608, 2, 304.000000, ZIP, 3709, 18, 206.055556, 153, 160, 
trial0000030, 000450, CZIP, 692, 4, 173.000000, GVWY, 742, 2, 371.000000, ZIP, 2541, 18, 141.166667, 163, 170, 
trial0000031, 000450, CZIP, 538, 4, 134.500000, GVWY, 837, 2, 418.500000, ZIP, 3851, 18, 213.944444, 80, N, 
trial0000032, 000450, CZIP, 696, 4, 174.000000, GVWY, 646, 2, 323.000000, ZIP, 3814, 18, 211.888889, 91, N, 
trial0000033, 000450, CZIP, 918, 4, 229.500000, GVWY, 818, 2, 409.000000, ZIP, 3694, 18, 205.222222, 152, N, 
trial0000034, 000450, CZIP, 896, 4, 224.000000, GVWY, 727, 2, 363.500000, ZIP, 3824, 18, 212.444444, N, 157, 
trial0000035, 000450, CZIP, 801, 4, 200.250000, GVWY, 565, 2, 282.500000, ZIP, 3451, 18, 191.722222, 149, 152, 
trial0000036, 000450, CZIP, 839, 4, 209.750000, GVWY, 801, 2, 400.500000, ZIP, 4001, 18, 222.277778, N, N, 
trial0000037, 000450, CZIP, 824, 4, 206.000000, GVWY, 716, 2, 358.000000, ZIP, 3767, 18, 209.277778, 156, 162, 
trial0000038, 000450, CZIP, 836, 4, 209.000000, GVWY, 712, 2, 356.000000, ZIP, 4788, 18, 266.000000, 93, 251, 
trial0000039, 000450, CZIP, 569, 4, 142.250000, GVWY, 859, 2, 429.500000, ZIP, 2658, 18, 147.666667, 161, N, 
trial0000040, 000450, CZIP, 849, 4, 212.250000, GVWY, 739, 2, 369.500000, ZIP, 3682, 18, 204.555556, 138, 160, 
trial0000041, 000450, CZIP, 909, 4, 227.250000, GVWY, 769, 2, 384.500000, ZIP, 4511, 18, 250.611111, N, 96, 
trial0000042, 000450, CZIP, 931, 4, 232.750000, GVWY, 745, 2, 372.500000, ZIP, 4138, 18, 229.888889, N, 53, 
trial0000043, 000450, CZIP, 770, 4, 192.500000, GVWY, 739, 2, 369.500000, ZIP, 3732, 18, 207.333333, 133, N, 
trial0000044, 000450, CZIP, 943, 4, 235.750000, GVWY, 875, 2, 437.500000, ZIP, 4360, 18, 242.222222, 149, 186, 
trial0000045, 000450, CZIP, 923, 4, 230.750000, GVWY, 737, 2, 368.500000, ZIP, 4064, 18, 225.777778, N, 167, 
trial0000046, 000450, CZIP, 901, 4, 225.250000, GVWY, 771, 2, 385.500000, ZIP, 3991, 18, 221.722222, N, 51, 
trial0000047, 000450, CZIP, 910, 4, 227.500000, GVWY, 765, 2, 382.500000, ZIP, 4003, 18, 222.388889, N, N, 
trial0000048, 000450, CZIP, 1066, 4, 266.500000, GVWY, 722, 2, 361.000000, ZIP, 4253, 18, 236.277778, N, 215, 
trial0000049, 000450, CZIP, 1009, 4, 252.250000, GVWY, 667, 2, 333.500000, ZIP, 3901, 18, 216.722222, N, 317, 
trial0000050, 000450, CZIP, 795, 4, 198.750000, GVWY, 661, 2, 330.500000, ZIP, 3565, 18, 198.055556, N, 70, 
trial0000001, 000450, CZIP, 1316, 6, 219.333333, GVWY, 870, 2, 435.000000, ZIP, 3096, 16, 193.500000, N, N, 
trial0000002, 000450, CZIP, 1587, 6, 264.500000, GVWY, 642, 2, 321.000000, ZIP, 4309, 16, 269.312500, N, 49, 
trial0000003, 000450, CZIP, 1094, 6, 182.333333, GVWY, 745, 2, 372.500000, ZIP, 3451, 16, 215.687500, 144, N, 
trial0000004, 000450, CZIP, 1428, 6, 238.000000, GVWY, 646, 2, 323.000000, ZIP, 3551, 16, 221.937500, 124, N, 
trial0000005, 000450, CZIP, 730, 6, 121.666667, GVWY, 691, 2, 345.500000, ZIP, 2397, 16, 149.812500, 166, 173, 
trial0000006, 000450, CZIP, 1395, 6, 232.500000, GVWY, 742, 2, 371.000000, ZIP, 3242, 16, 202.625000, 159, 169, 
trial0000007, 000450, CZIP, 1275, 6, 212.500000, GVWY, 806, 2, 403.000000, ZIP, 3466, 16, 216.625000, 157, 172, 
trial0000008, 000450, CZIP, 1605, 6, 267.500000, GVWY, 825, 2, 412.500000, ZIP, 4028, 16, 251.750000, 141, N, 
trial0000009, 000450, CZIP, 1487, 6, 247.833333, GVWY, 674, 2, 337.000000, ZIP, 3185, 16, 199.062500, 108, N, 
trial0000010, 000450, CZIP, 1061, 6, 176.833333, GVWY, 820, 2, 410.000000, ZIP, 3123, 16, 195.187500, 139, 167, 
trial0000011, 000450, CZIP, 1483, 6, 247.166667, GVWY, 711, 2, 355.500000, ZIP, 3945, 16, 246.562500, N, 274, 
trial0000012, 000450, CZIP, 1342, 6, 223.666667, GVWY, 757, 2, 378.500000, ZIP, 3509, 16, 219.312500, 161, 196, 
trial0000013, 000450, CZIP, 1467, 6, 244.500000, GVWY, 764, 2, 382.000000, ZIP, 3152, 16, 197.000000, 151, 152, 
trial0000014, 000450, CZIP, 1771, 6, 295.166667, GVWY, 782, 2, 391.000000, ZIP, 3681, 16, 230.062500, 142, N, 
trial0000015, 000450, CZIP, 1528, 6, 254.666667, GVWY, 705, 2, 352.500000, ZIP, 2930, 16, 183.125000, 162, 172, 
trial0000016, 000450, CZIP, 1295, 6, 215.833333, GVWY, 867, 2, 433.500000, ZIP, 3653, 16, 228.312500, 162, N, 
trial0000017, 000450, CZIP, 1237, 6, 206.166667, GVWY, 699, 2, 349.500000, ZIP, 4250, 16, 265.625000, 82, N, 
trial0000018, 000450, CZIP, 1182, 6, 197.000000, GVWY, 721, 2, 360.500000, ZIP, 3955, 16, 247.187500, 51, 84, 
trial0000019, 000450, CZIP, 1389, 6, 231.500000, GVWY, 586, 2, 293.000000, ZIP, 3527, 16, 220.437500, N, N, 
trial0000020, 000450, CZIP, 1002, 6, 167.000000, GVWY, 791, 2, 395.500000, ZIP, 2939, 16, 183.687500, N, N, 
trial0000021, 000450, CZIP, 927, 6, 154.500000, GVWY, 762, 2, 381.000000, ZIP, 3431, 16, 214.437500, 148, 178, 
trial0000022, 000450, CZIP, 1844, 6, 307.333333, GVWY, 770, 2, 385.000000, ZIP, 4631, 16, 289.437500, 66, N, 
trial0000023, 000450, CZIP, 1559, 6, 259.833333, GVWY, 595, 2, 297.500000, ZIP, 3781, 16, 236.312500, 104, 155, 
trial0000024, 000450, CZIP, 1025, 6, 170.833333, GVWY, 763, 2, 381.500000, ZIP, 3353, 16, 209.562500, 164, 203, 
trial0000025, 000450, CZIP, 1486, 6, 247.666667, GVWY, 596, 2, 298.000000, ZIP, 4019, 16, 251.187500, 75, N, 
trial0000026, 000450, CZIP, 1532, 6, 255.333333, GVWY, 682, 2, 341.000000, ZIP, 3871, 16, 241.937500, 57, N, 
trial0000027, 000450, CZIP, 997, 6, 166.166667, GVWY, 731, 2, 365.500000, ZIP, 3428, 16, 214.250000, N, N, 
trial0000028, 000450, CZIP, 1434, 6, 239.000000, GVWY, 903, 2, 451.500000, ZIP, 3127, 16, 195.437500, 127, N, 
trial0000029, 000450, CZIP, 1221, 6, 203.500000, GVWY, 702, 2, 351.000000, ZIP, 3958, 16, 247.375000, N, N, 
trial0000030, 000450, CZIP, 1079, 6, 179.833333, GVWY, 770, 2, 385.000000, ZIP, 2796, 16, 174.750000, 164, 170, 
trial0000031, 000450, CZIP, 1359, 6, 226.500000, GVWY, 604, 2, 302.000000, ZIP, 4117, 16, 257.312500, 159, N, 
trial0000032, 000450, CZIP, 1705, 6, 284.166667, GVWY, 689, 2, 344.500000, ZIP, 3583, 16, 223.937500, 157, 168, 
trial0000033, 000450, CZIP, 1292, 6, 215.333333, GVWY, 689, 2, 344.500000, ZIP, 3723, 16, 232.687500, 137, 148, 
trial0000034, 000450, CZIP, 422, 6, 70.333333, GVWY, 783, 2, 391.500000, ZIP, 2422, 16, 151.375000, 164, 168, 
trial0000035, 000450, CZIP, 881, 6, 146.833333, GVWY, 580, 2, 290.000000, ZIP, 2887, 16, 180.437500, N, 54, 
trial0000036, 000450, CZIP, 1479, 6, 246.500000, GVWY, 601, 2, 300.500000, ZIP, 4105, 16, 256.562500, 116, N, 
trial0000037, 000450, CZIP, 1692, 6, 282.000000, GVWY, 733, 2, 366.500000, ZIP, 4395, 16, 274.687500, 111, 256, 
trial0000038, 000450, CZIP, 1197, 6, 199.500000, GVWY, 719, 2, 359.500000, ZIP, 4084, 16, 255.250000, N, 40, 
trial0000039, 000450, CZIP, 1390, 6, 231.666667, GVWY, 786, 2, 393.000000, ZIP, 4103, 16, 256.437500, N, N, 
trial0000040, 000450, CZIP, 1493, 6, 248.833333, GVWY, 666, 2, 333.000000, ZIP, 3672, 16, 229.500000, N, 115, 
trial0000041, 000450, CZIP, 1357, 6, 226.166667, GVWY, 800, 2, 400.000000, ZIP, 3496, 16, 218.500000, 107, 158, 
trial0000042, 000450, CZIP, 1581, 6, 263.500000, GVWY, 578, 2, 289.000000, ZIP, 4062, 16, 253.875000, N, 49, 
trial0000043, 000450, CZIP, 1380, 6, 230.000000, GVWY, 688, 2, 344.000000, ZIP, 3246, 16, 202.875000, 163, 202, 
trial0000044, 000450, CZIP, 1415, 6, 235.833333, GVWY, 648, 2, 324.000000, ZIP, 3979, 16, 248.687500, N, 112, 
trial0000045, 000450, CZIP, 1622, 6, 270.333333, GVWY, 581, 2, 290.500000, ZIP, 3598, 16, 224.875000, N, 40, 
trial0000046, 000450, CZIP, 1325, 6, 220.833333, GVWY, 745, 2, 372.500000, ZIP, 2527, 16, 157.937500, N, 136, 
trial0000047, 000450, CZIP, 506, 6, 84.333333, GVWY, 668, 2, 334.000000, ZIP, 2965, 16, 185.312500, 156, 159, 
trial0000048, 000450, CZIP, 1394, 6, 232.333333, GVWY, 679, 2, 339.500000, ZIP, 2763, 16, 172.687500, 129, 133, 
trial0000049, 000450, CZIP, 1688, 6, 281.333333, GVWY, 786, 2, 393.000000, ZIP, 4033, 16, 252.062500, N, 285, 
trial0000050, 000450, CZIP, 1722, 6, 287.000000, GVWY, 474, 2, 237.000000, ZIP, 4244, 16, 265.250000, 94, N, 
