trial0000011, 000450, SNPR, 157, 4, 39.250000, SZIP, 1085, 12, 90.416667, N, 138, 
trial0000012, 000450, SNPR, 137, 4, 34.250000, SZIP, 1270, 12, 105.833333, 120, 148, 
trial0000013, 000450, SNPR, 96, 4, 24.000000, SZIP, 1476, 12, 123.000000, 138, 142, 
trial0000014, 000450, SNPR, 113, 4, 28.250000, SZIP, 1318, 12, 109.833333, 154, N, 
trial0000015, 000450, SNPR, 155, 4, 38.750000, SZIP, 1133, 12, 94.416667, 158, N, 
trial0000016, 000450, SNPR, 160, 4, 40.000000, SZIP, 1467, 12, 122.250000, 153, 622, 
trial0000017, 000450, SNPR, 116, 4, 29.000000, SZIP, 1486, 12, 123.833333, 166, 854, 
trial0000018, 000450, SNPR, 86, 4, 21.500000, SZIP, 1373, 12, 114.416667, 110, 139, 
trial0000019, 000450, SNPR, 202, 4, 50.500000, SZIP, 1317, 12, 109.750000, 137, 504, 
trial0000020, 000450, SNPR, 112, 4, 28.000000, SZIP, 1452, 12, 121.000000, 111, 1000, 
trial0000021, 000450, SNPR, 181, 4, 45.250000, SZIP, 1205, 12, 100.416667, 117, 145, 
trial0000022, 000450, SNPR, 169, 4, 42.250000, SZIP, 1220, 12, 101.666667, 166, 798, 
trial0000023, 000450, SNPR, 183, 4, 45.750000, SZIP, 1431, 12, 119.250000, N, 148, 
trial0000024, 000450, SNPR, 109, 4, 27.250000, SZIP, 1303, 12, 108.583333, 1, 144, 
trial0000025, 000450, SNPR, 247, 4, 61.750000, SZIP, 1375, 12, 114.583333, 136, 909, 
trial0000026, 000450, SNPR, 212, 4, 53.000000, SZIP, 1382, 12, 115.166667, 1, 148, 
trial0000027, 000450, SNPR, 73, 4, 18.250000, SZIP, 1510, 12, 125.833333, 162, N, 
trial0000028, 000450, SNPR, 106, 4, 26.500000, SZIP, 1294, 12, 107.833333, N, 141, 
trial0000029, 000450, SNPR, 137, 4, 34.250000, SZIP, 1512, 12, 126.000000, 1, 201, 
trial0000030, 000450, SNPR, 189, 4, 47.250000, SZIP, 1259, 12, 104.916667, 169, 297, 
trial0000031, 000450, SNPR, 239, 4, 59.750000, SZIP, 1274, 12, 106.166667, 143, 859, 
trial0000032, 000450, SNPR, 152, 4, 38.000000, SZIP, 1365, 12, 113.750000, 168, 360, 
trial0000033, 000450, SNPR, 82, 4, 20.500000, SZIP, 1565, 12, 130.416667, 1, 145, 
trial0000034, 000450, SNPR, 81, 4, 20.250000, SZIP, 1463, 12, 121.916667, 128, 138, 
trial0000035, 000450, SNPR, 63, 4, 15.750000, SZIP, 1151, 12, 95.916667, 111, 571, 
trial0000036, 000450, SNPR, 113, 4, 28.250000, SZIP, 1212, 12, 101.000000, 140, 145, 
trial0000037, 000450, SNPR, 85, 4, 21.250000, SZIP, 1054, 12, 87.833333, N, 133, 
trial0000038, 000450, SNPR, 117, 4, 29.250000, SZIP, 1281, 12, 106.750000, 165, N, 
trial0000039, 000450, SNPR, 231, 4, 57.750000, SZIP, 1346, 12, 112.166667, N, 138, 
trial0000040, 000450, SNPR, 178, 4, 44.500000, SZIP, 1142, 12, 95.166667, 1, 139, 
trial0000041, 000450, SNPR, 150, 4, 37.500000, SZIP, 1397, 12, 116.416667, 114, 135, 
trial0000042, 000450, SNPR, 191, 4, 47.750000, SZIP, 1313, 12, 109.416667, 159, 367, 
trial0000043, 000450, SNPR, 128, 4, 32.000000, SZIP, 1413, 12, 117.750000, N, 145, 
trial0000044, 000450, SNPR, 201, 4, 50.250000, SZIP, 1341, 12, 111.750000, 150, 1000, 
trial0000045, 000450, SNPR, 138, 4, 34.500000, SZIP, 1392, 12, 116.000000, 144, 762, 
trial0000046, 000450, SNPR, 72, 4, 18.000000, SZIP, 1418, 12, 118.166667, 168, 482, 
trial0000047, 000450, SNPR, 100, 4, 25.000000, SZIP, 1498, 12, 124.833333, 164, 621, 
trial0000048, 000450, SNPR, 175, 4, 43.750000, SZIP, 1327, 12, 110.583333, 162, 726, 
trial0000049, 000450, SNPR, 132, 4, 33.000000, SZIP, 1307, 12, 108.916667, 143, 147, 
trial0000050, 000450, SNPR, 107, 4, 26.750000, SZIP, 1412, 12, 117.666667, N, 145, 
trial0000001, 000450, SNPR, 208, 6, 34.666667, SZIP, 1152, 10, 115.200000, 138, 147, 
trial0000002, 000450, SNPR, 224, 6, 37.333333, SZIP, 1018, 10, 101.800000, N, N, 
trial0000003, 000450, SNPR, 259, 6, 43.166667, SZIP, 1037, 10, 103.700000, N, 916, 
