trial0000012, 000450, SZIP, 1111, 4, 277.750000, ZIP, 2569, 12, 214.083333, 163, 224, 
trial0000013, 000450, SZIP, 995, 4, 248.750000, ZIP, 3373, 12, 281.083333, N, 35, 
trial0000014, 000450, SZIP, 805, 4, 201.250000, ZIP, 2739, 12, 228.250000, 166, 1000, 
trial0000015, 000450, SZIP, 1273, 4, 318.250000, ZIP, 3102, 12, 258.500000, 116, 139, 
trial0000016, 000450, SZIP, 861, 4, 215.250000, ZIP, 2640, 12, 220.000000, 160, 612, 
trial0000017, 000450, SZIP, 917, 4, 229.250000, ZIP, 3145, 12, 262.083333, N, 36, 
trial0000018, 000450, SZIP, 839, 4, 209.750000, ZIP, 2881, 12, 240.083333, 110, 669, 
trial0000019, 000450, SZIP, 880, 4, 220.000000, ZIP, 2807, 12, 233.916667, 110, 614, 
trial0000020, 000450, SZIP, 1145, 4, 286.250000, ZIP, 2822, 12, 235.166667, N, 287, 
trial0000021, 000450, SZIP, 1186, 4, 296.500000, ZIP, 2508, 12, 209.000000, 95, 303, 
trial0000022, 000450, SZIP, 1079, 4, 269.750000, ZIP, 3142, 12, 261.833333, 1, 186, 
trial0000023, 000450, SZIP, 828, 4, 207.000000, ZIP, 2313, 12, 192.750000, 144, 281, 
trial0000024, 000450, SZIP, 902, 4, 225.500000, ZIP, 3046, 12, 253.833333, 126, 809, 
trial0000025, 000450, SZIP, 906, 4, 226.500000, ZIP, 2567, 12, 213.916667, 97, 144, 
trial0000026, 000450, SZIP, 827, 4, 206.750000, ZIP, 2538, 12, 211.500000, 167, 175, 
trial0000027, 000450, SZIP, 1149, 4, 287.250000, ZIP, 2633, 12, 219.416667, N, 36, 
trial0000028, 000450, SZIP, 917, 4, 229.250000, ZIP, 3058, 12, 254.833333, 122, 229, 
trial0000029, 000450, SZIP, 1134, 4, 283.500000, ZIP, 2645, 12, 220.416667, 162, 172, 
trial0000030, 000450, SZIP, 1163, 4, 290.750000, ZIP, 2950, 12, 245.833333, 90, N, 
trial0000031, 000450, SZIP, 907, 4, 226.750000, ZIP, 2635, 12, 219.583333, 103, 750, 
trial0000032, 000450, SZIP, 787, 4, 196.750000, ZIP, 2635, 12, 219.583333, 165, 449, 
trial0000033, 000450, SZIP, 1388, 4, 347.000000, ZIP, 2696, 12, 224.666667, 144, 167, 
trial0000034, 000450, SZIP, 973, 4, 243.250000, ZIP, 3092, 12, 257.666667, 101, N, 
trial0000035, 000450, SZIP, 1062, 4, 265.500000, ZIP, 2737, 12, 228.083333, 163, 247, 
trial0000036, 000450, SZIP, 966, 4, 241.500000, ZIP, 3090, 12, 257.500000, 111, 818, 
trial0000037, 000450, SZIP, 1094, 4, 273.500000, ZIP, 2872, 12, 239.333333, 108, 195, 
trial0000038, 000450, SZIP, 1143, 4, 285.750000, ZIP, 3161, 12, 263.416667, 83, N, 
trial0000039, 000450, SZIP, 641, 4, 160.250000, ZIP, 2411, 12, 200.916667, N, 39, 
trial0000040, 000450, SZIP, 1030, 4, 257.500000, ZIP, 2729, 12, 227.416667, 64, 623, 
trial0000041, 000450, SZIP, 947, 4, 236.750000, ZIP, 3288, 12, 274.000000, 76, 761, 
trial0000042, 000450, SZIP, 1036, 4, 259.000000, ZIP, 3016, 12, 251.333333, 162, 645, 
trial0000043, 000450, SZIP, 1006, 4, 251.500000, ZIP, 3004, 12, 250.333333, 117, 347, 
trial0000044, 000450, SZIP, 895, 4, 223.750000, ZIP, 3089, 12, 257.416667, 58, 342, 
trial0000045, 000450, SZIP, 935, 4, 233.750000, ZIP, 3010, 12, 250.833333, N, 213, 
trial0000046, 000450, SZIP, 1103, 4, 275.750000, ZIP, 2750, 12, 229.166667, 145, N, 
trial0000047, 000450, SZIP, 1052, 4, 263.000000, ZIP, 2918, 12, 243.166667, 70, N, 
trial0000048, 000450, SZIP, 1111, 4, 277.750000, ZIP, 3116, 12, 259.666667, N, N, 
trial0000049, 000450, SZIP, 1161, 4, 290.250000, ZIP, 2983, 12, 248.583333, N, N, 
trial0000050, 000450, SZIP, 719, 4, 179.750000, ZIP, 3048, 12, 254.000000, 89, N, 
trial0000001, 000450, SZIP, 1471, 6, 245.166667, ZIP, 1875, 10, 187.500000, N, 79, 
trial0000002, 000450, SZIP, 1700, 6, 283.333333, ZIP, 1851, 10, 185.100000, 126, 294, 
trial0000003, 000450, SZIP, 1370, 6, 228.333333, ZIP, 2773, 10, 277.300000, 1, 636, 
trial0000004, 000450, SZIP, 1637, 6, 272.833333, ZIP, 2255, 10, 225.500000, 161, 532, 
trial0000005, 000450, SZIP, 1442, 6, 240.333333, ZIP, 2804, 10, 280.400000, 144, 487, 
trial0000006, 000450, SZIP, 1396, 6, 232.666667, ZIP, 2407, 10, 240.700000, 167, 1000, 
trial0000007, 000450, SZIP, 1651, 6, 275.166667, ZIP, 2211, 10, 221.100000, 162, 189, 
trial0000008, 000450, SZIP, 1513, 6, 252.166667, ZIP, 2505, 10, 250.500000, 126, 505, 
trial0000009, 000450, SZIP, 1245, 6, 207.500000, ZIP, 1946, 10, 194.600000, 110, N, 
trial0000010, 000450, SZIP, 1468, 6, 244.666667, ZIP, 2499, 10, 249.900000, 126, 662, 
trial0000011, 000450, SZIP, 1288, 6, 214.666667, ZIP, 2226, 10, 222.600000, 146, 202, 
trial0000012, 000450, SZIP, 1664, 6, 277.333333, ZIP, 1838, 10, 183.800000, 111, N, 
trial0000013, 000450, SZIP, 1122, 6, 187.000000, ZIP, 1639, 10, 163.900000, 168, 246, 
trial0000014, 000450, SZIP, 1354, 6, 225.666667, ZIP, 2402, 10, 240.200000, 163, 243, 
trial0000015, 000450, SZIP, 1501, 6, 250.166667, ZIP, 2718, 10, 271.800000, 165, 594, 
trial0000016, 000450, SZIP, 1255, 6, 209.166667, ZIP, 2435, 10, 243.500000, 165, 661, 
trial0000017, 000450, SZIP, 1467, 6, 244.500000, ZIP, 2698, 10, 269.800000, 161, 618, 
trial0000018, 000450, SZIP, 1592, 6, 265.333333, ZIP, 2194, 10, 219.400000, 168, 827, 
trial0000019, 000450, SZIP, 1662, 6, 277.000000, ZIP, 2386, 10, 238.600000, 105, N, 
trial0000020, 000450, SZIP, 1519, 6, 253.166667, ZIP, 2550, 10, 255.000000, 106, 122, 
trial0000021, 000450, SZIP, 1427, 6, 237.833333, ZIP, 2071, 10, 207.100000, 160, 564, 
trial0000022, 000450, SZIP, 1078, 6, 179.666667, ZIP, 2025, 10, 202.500000, 166, N, 
trial0000023, 000450, SZIP, 1513, 6, 252.166667, ZIP, 2374, 10, 237.400000, 1, 34, 
trial0000024, 000450, SZIP, 1639, 6, 273.166667, ZIP, 2546, 10, 254.600000, N, 43, 
trial0000025, 000450, SZIP, 1271, 6, 211.833333, ZIP, 2442, 10, 244.200000, N, N, 
trial0000026, 000450, SZIP, 1284, 6, 214.000000, ZIP, 2483, 10, 248.300000, 162, 555, 
trial0000027, 000450, SZIP, 1320, 6, 220.000000, ZIP, 2136, 10, 213.600000, N, 452, 
trial0000028, 000450, SZIP, 1588, 6, 264.666667, ZIP, 2404, 10, 240.400000, 85, 572, 
trial0000029, 000450, SZIP, 1142, 6, 190.333333, ZIP, 2490, 10, 249.000000, N, 35, 
trial0000030, 000450, SZIP, 1441, 6, 240.166667, ZIP, 2900, 10, 290.000000, 160, N, 
trial0000031, 000450, SZIP, 1531, 6, 255.166667, ZIP, 2769, 10, 276.900000, 164, 789, 
trial0000032, 000450, SZIP, 1238, 6, 206.333333, ZIP, 2288, 10, 228.800000, 160, 218, 
trial0000033, 000450, SZIP, 1344, 6, 224.000000, ZIP, 2711, 10, 271.100000, 65, N, 
trial0000034, 000450, SZIP, 1193, 6, 198.833333, ZIP, 2271, 10, 227.100000, 167, 466, 
trial0000035, 000450, SZIP, 1475, 6, 245.833333, ZIP, 2520, 10, 252.000000, 74, 385, 
trial0000036, 000450, SZIP, 1598, 6, 266.333333, ZIP, 2671, 10, 267.100000, N, 37, 
trial0000037, 000450, SZIP, 1199, 6, 199.833333, ZIP, 2561, 10, 256.100000, 162, 196, 
trial0000038, 000450, SZIP, 1335, 6, 222.500000, ZIP, 3130, 10, 313.000000, N, 43, 
trial0000039, 000450, SZIP, 1853, 6, 308.833333, ZIP, 2569, 10, 256.900000, 60, 478, 
trial0000040, 000450, SZIP, 1531, 6, 255.166667, ZIP, 1958, 10, 195.800000, 167, N, 
trial0000041, 000450, SZIP, 1594, 6, 265.666667, ZIP, 2575, 10, 257.500000, N, 38, 
trial0000042, 000450, SZIP, 1757, 6, 292.833333, ZIP, 2767, 10, 276.700000, 168, 184, 
trial0000043, 000450, SZIP, 1794, 6, 299.000000, ZIP, 2837, 10, 283.700000, 114, 580, 
trial0000044, 000450, SZIP, 1353, 6, 225.500000, ZIP, 1834, 10, 183.400000, N, N, 
trial0000045, 000450, SZIP, 1538, 6, 256.333333, ZIP, 2311, 10, 231.100000, 165, 921, 
trial0000046, 000450, SZIP, 1546, 6, 257.666667, ZIP, 2767, 10, 276.700000, 57, 903, 
trial0000047, 000450, SZIP, 1837, 6, 306.166667, ZIP, 2219, 10, 221.900000, N, 36, 
trial0000048, 000450, SZIP, 1518, 6, 253.000000, ZIP, 2339, 10, 233.900000, 140, 366, 
trial0000049, 000450, SZIP, 1569, 6, 261.500000, ZIP, 2412, 10, 241.200000, 165, 306, 
trial0000050, 000450, SZIP, 1469, 6, 244.833333, ZIP, 3109, 10, 310.900000, N, 34, 
trial0000001, 000450, SZIP, 2113, 8, 264.125000, ZIP, 1762, 8, 220.250000, N, N, 
trial0000002, 000450, SZIP, 2303, 8, 287.875000, ZIP, 2328, 8, 291.000000, N, N, 
trial0000003, 000450, SZIP, 2255, 8, 281.875000, ZIP, 2226, 8, 278.250000, N, N, 
trial0000004, 000450, SZIP, 1794, 8, 224.250000, ZIP, 1915, 8, 239.375000, 64, 289, 
trial0000005, 000450, SZIP, 1944, 8, 243.000000, ZIP, 2322, 8, 290.250000, 125, 235, 
trial0000006, 000450, SZIP, 1188, 8, 148.500000, ZIP, 2165, 8, 270.625000, 84, 105, 
trial0000007, 000450, SZIP, 2144, 8, 268.000000, ZIP, 1734, 8, 216.750000, 121, N, 
trial0000008, 000450, SZIP, 2169, 8, 271.125000, ZIP, 1869, 8, 233.625000, N, 1000, 
trial0000009, 000450, SZIP, 2173, 8, 271.625000, ZIP, 1841, 8, 230.125000, 169, 287, 
trial0000010, 000450, SZIP, 1932, 8, 241.500000, ZIP, 2109, 8, 263.625000, N, 463, 
trial0000011, 000450, SZIP, 1462, 8, 182.750000, ZIP, 2284, 8, 285.500000, 23, 32, 
trial0000012, 000450, SZIP, 2192, 8, 274.000000, ZIP, 2459, 8, 307.375000, N, 35, 
trial0000013, 000450, SZIP, 1934, 8, 241.750000, ZIP, 1337, 8, 167.125000, 90, 152, 
trial0000014, 000450, SZIP, 1803, 8, 225.375000, ZIP, 2173, 8, 271.625000, 17, 59, 
trial0000015, 000450, SZIP, 2282, 8, 285.250000, ZIP, 1780, 8, 222.500000, 75, 88, 
trial0000016, 000450, SZIP, 1713, 8, 214.125000, ZIP, 1829, 8, 228.625000, 144, 497, 
trial0000017, 000450, SZIP, 1867, 8, 233.375000, ZIP, 2504, 8, 313.000000, 164, 870, 
trial0000018, 000450, SZIP, 1862, 8, 232.750000, ZIP, 2444, 8, 305.500000, N, 37, 
trial0000019, 000450, SZIP, 1650, 8, 206.250000, ZIP, 1558, 8, 194.750000, 169, N, 
trial0000020, 000450, SZIP, 1870, 8, 233.750000, ZIP, 1974, 8, 246.750000, 111, N, 
trial0000021, 000450, SZIP, 2077, 8, 259.625000, ZIP, 1821, 8, 227.625000, 168, 233, 
trial0000022, 000450, SZIP, 1741, 8, 217.625000, ZIP, 2364, 8, 295.500000, 166, 459, 
trial0000023, 000450, SZIP, 2034, 8, 254.250000, ZIP, 2182, 8, 272.750000, N, 218, 
trial0000024, 000450, SZIP, 2042, 8, 255.250000, ZIP, 2243, 8, 280.375000, 163, 792, 
trial0000025, 000450, SZIP, 1663, 8, 207.875000, ZIP, 1533, 8, 191.625000, 165, 301, 
trial0000026, 000450, SZIP, 2213, 8, 276.625000, ZIP, 2230, 8, 278.750000, N, 258, 
trial0000027, 000450, SZIP, 1710, 8, 213.750000, ZIP, 2215, 8, 276.875000, 161, 538, 
trial0000028, 000450, SZIP, 1754, 8, 219.250000, ZIP, 1987, 8, 248.375000, 122, 189, 
trial0000029, 000450, SZIP, 1978, 8, 247.250000, ZIP, 2268, 8, 283.500000, 167, N, 
trial0000030, 000450, SZIP, 1562, 8, 195.250000, ZIP, 2583, 8, 322.875000, 18, 31, 
trial0000031, 000450, SZIP, 2147, 8, 268.375000, ZIP, 2245, 8, 280.625000, N, N, 
trial0000032, 000450, SZIP, 1858, 8, 232.250000, ZIP, 1409, 8, 176.125000, N, 318, 
trial0000033, 000450, SZIP, 1593, 8, 199.125000, ZIP, 2178, 8, 272.250000, N, 193, 
trial0000034, 000450, SZIP, 1789, 8, 223.625000, ZIP, 1750, 8, 218.750000, 157, 177, 
trial0000035, 000450, SZIP, 2477, 8, 309.625000, ZIP, 1869, 8, 233.625000, 163, N, 
trial0000036, 000450, SZIP, 2101, 8, 262.625000, ZIP, 1957, 8, 244.625000, N, 34, 
trial0000037, 000450, SZIP, 1673, 8, 209.125000, ZIP, 1849, 8, 231.125000, 165, 428, 
trial0000038, 000450, SZIP, 1700, 8, 212.500000, ZIP, 2179, 8, 272.375000, 125, 223, 
trial0000039, 000450, SZIP, 1886, 8, 235.750000, ZIP, 1791, 8, 223.875000, 92, 1000, 
trial0000040, 000450, SZIP, 1896, 8, 237.000000, ZIP, 1634, 8, 204.250000, 133, 203, 
trial0000041, 000450, SZIP, 1901, 8, 237.625000, ZIP, 2043, 8, 255.375000, 82, 134, 
trial0000042, 000450, SZIP, 2012, 8, 251.500000, ZIP, 1812, 8, 226.500000, 156, 160, 
trial0000043, 000450, SZIP, 2232, 8, 279.000000, ZIP, 1917, 8, 239.625000, 77, N, 
trial0000044, 000450, SZIP, 2117, 8, 264.625000, ZIP, 2384, 8, 298.000000, N, 40, 
trial0000045, 000450, SZIP, 2057, 8, 257.125000, ZIP, 2331, 8, 291.375000, 168, 541, 
trial0000046, 000450, SZIP, 1811, 8, 226.375000, ZIP, 1480, 8, 185.000000, 163, 190, 
trial0000047, 000450, SZIP, 1683, 8, 210.375000, ZIP, 1630, 8, 203.750000, 118, 179, 
trial0000048, 000450, SZIP, 1854, 8, 231.750000, ZIP, 1971, 8, 246.375000, N, 127, 
trial0000049, 000450, SZIP, 1887, 8, 235.875000, ZIP, 2026, 8, 253.250000, 10, 39, 
trial0000050, 000450, SZIP, 2473, 8, 309.125000, ZIP, 1924, 8, 240.500000, 168, 224, 
trial0000001, 000450, SZIP, 2838, 10, 283.800000, ZIP, 1717, 6, 286.166667, 162, N, 
trial0000002, 000450, SZIP, 2280, 10, 228.000000, ZIP, 1397, 6, 232.833333, 167, 304, 
trial0000003, 000450, SZIP, 2947, 10, 294.700000, ZIP, 1138, 6, 189.666667, 99, 167, 
trial0000004, 000450, SZIP, 2522, 10, 252.200000, ZIP, 1425, 6, 237.500000, N, 66, 
trial0000005, 000450, SZIP, 2867, 10, 286.700000, ZIP, 1767, 6, 294.500000, N, 42, 
trial0000006, 000450, SZIP, 1898, 10, 189.800000, ZIP, 1687, 6, 281.166667, N, 35, 
trial0000007, 000450, SZIP, 2858, 10, 285.800000, ZIP, 1413, 6, 235.500000, 111, 193, 
