trial0000046, 000450, SNPR, 58, 2, 29.000000, SZIP, 269, 2, 134.500000, ZIP, 2410, 20, 120.500000, 162, 184, 
trial0000047, 000450, SNPR, 82, 2, 41.000000, SZIP, 219, 2, 109.500000, ZIP, 2380, 20, 119.000000, 144, 149, 
trial0000048, 000450, SNPR, 105, 2, 52.500000, SZIP, 273, 2, 136.500000, ZIP, 2256, 20, 112.800000, 113, 141, 
trial0000049, 000450, SNPR, 81, 2, 40.500000, SZIP, 298, 2, 149.000000, ZIP, 2377, 20, 118.850000, 136, 139, 
trial0000050, 000450, SNPR, 85, 2, 42.500000, SZIP, 256, 2, 128.000000, ZIP, 2522, 20, 126.100000, 160, 181, 
trial0000001, 000450, SNPR, 196, 4, 49.000000, SZIP, 266, 2, 133.000000, ZIP, 2349, 18, 130.500000, 155, 171, 
trial0000002, 000450, SNPR, 143, 4, 35.750000, SZIP, 271, 2, 135.500000, ZIP, 2345, 18, 130.277778, 165, 172, 
trial0000003, 000450, SNPR, 203, 4, 50.750000, SZIP, 252, 2, 126.000000, ZIP, 2234, 18, 124.111111, 161, 173, 
trial0000004, 000450, SNPR, 157, 4, 39.250000, SZIP, 272, 2, 136.000000, ZIP, 2046, 18, 113.666667, 132, 144, 
trial0000005, 000450, SNPR, 68, 4, 17.000000, SZIP, 227, 2, 113.500000, ZIP, 2133, 18, 118.500000, 162, 168, 
trial0000006, 000450, SNPR, 136, 4, 34.000000, SZIP, 239, 2, 119.500000, ZIP, 2104, 18, 116.888889, 164, 167, 
trial0000007, 000450, SNPR, 106, 4, 26.500000, SZIP, 319, 2, 159.500000, ZIP, 2047, 18, 113.722222, 141, 158, 
trial0000008, 000450, SNPR, 183, 4, 45.750000, SZIP, 216, 2, 108.000000, ZIP, 2119, 18, 117.722222, 134, 155, 
trial0000009, 000450, SNPR, 174, 4, 43.500000, SZIP, 319, 2, 159.500000, ZIP, 2227, 18, 123.722222, 113, 146, 
trial0000010, 000450, SNPR, 146, 4, 36.500000, SZIP, 252, 2, 126.000000, ZIP, 2259, 18, 125.500000, 121, 153, 
trial0000011, 000450, SNPR, 203, 4, 50.750000, SZIP, 222, 2, 111.000000, ZIP, 2090, 18, 116.111111, 141, 148, 
trial0000012, 000450, SNPR, 161, 4, 40.250000, SZIP, 224, 2, 112.000000, ZIP, 2507, 18, 139.277778, 161, 166, 
trial0000013, 000450, SNPR, 211, 4, 52.750000, SZIP, 238, 2, 119.000000, ZIP, 2330, 18, 129.444444, 105, 149, 
trial0000014, 000450, SNPR, 175, 4, 43.750000, SZIP, 233, 2, 116.500000, ZIP, 2002, 18, 111.222222, 129, 148, 
trial0000015, 000450, SNPR, 183, 4, 45.750000, SZIP, 241, 2, 120.500000, ZIP, 2013, 18, 111.833333, 167, 170, 
trial0000016, 000450, SNPR, 177, 4, 44.250000, SZIP, 322, 2, 161.000000, ZIP, 2075, 18, 115.277778, 136, 137, 
trial0000017, 000450, SNPR, 180, 4, 45.000000, SZIP, 168, 2, 84.000000, ZIP, 1664, 18, 92.444444, 115, 127, 
trial0000018, 000450, SNPR, 108, 4, 27.000000, SZIP, 251, 2, 125.500000, ZIP, 2293, 18, 127.388889, 164, 184, 
trial0000019, 000450, SNPR, 148, 4, 37.000000, SZIP, 175, 2, 87.500000, ZIP, 2200, 18, 122.222222, 157, 177, 
trial0000020, 000450, SNPR, 142, 4, 35.500000, SZIP, 275, 2, 137.500000, ZIP, 2038, 18, 113.222222, 168, 171, 
trial0000021, 000450, SNPR, 155, 4, 38.750000, SZIP, 219, 2, 109.500000, ZIP, 2140, 18, 118.888889, 168, 174, 
trial0000022, 000450, SNPR, 158, 4, 39.500000, SZIP, 298, 2, 149.000000, ZIP, 2262, 18, 125.666667, 131, 147, 
trial0000023, 000450, SNPR, 223, 4, 55.750000, SZIP, 226, 2, 113.000000, ZIP, 1809, 18, 100.500000, 158, 163, 
trial0000024, 000450, SNPR, 173, 4, 43.250000, SZIP, 246, 2, 123.000000, ZIP, 2306, 18, 128.111111, 126, 162, 
trial0000025, 000450, SNPR, 211, 4, 52.750000, SZIP, 258, 2, 129.000000, ZIP, 1802, 18, 100.111111, 138, 146, 
trial0000026, 000450, SNPR, 219, 4, 54.750000, SZIP, 270, 2, 135.000000, ZIP, 2230, 18, 123.888889, 125, 146, 
trial0000027, 000450, SNPR, 259, 4, 64.750000, SZIP, 267, 2, 133.500000, ZIP, 2394, 18, 133.000000, 130, 148, 
trial0000028, 000450, SNPR, 178, 4, 44.500000, SZIP, 246, 2, 123.000000, ZIP, 2180, 18, 121.111111, 168, 171, 
