trial0000011, 000450, SNPR, 205, 4, 51.250000, ZIP, 1395, 12, 116.250000, 58, 79, 
trial0000012, 000450, SNPR, 65, 4, 16.250000, ZIP, 1480, 12, 123.333333, 33, 53, 
trial0000013, 000450, SNPR, 176, 4, 44.000000, ZIP, 1378, 12, 114.833333, 51, 81, 
trial0000014, 000450, SNPR, 170, 4, 42.500000, ZIP, 1510, 12, 125.833333, N, 90, 
trial0000015, 000450, SNPR, 141, 4, 35.250000, ZIP, 1404, 12, 117.000000, 56, 108, 
trial0000016, 000450, SNPR, 192, 4, 48.000000, ZIP, 1215, 12, 101.250000, 56, 62, 
trial0000017, 000450, SNPR, 117, 4, 29.250000, ZIP, 1403, 12, 116.916667, 71, 85, 
trial0000018, 000450, SNPR, 147, 4, 36.750000, ZIP, 1688, 12, 140.666667, 58, 100, 
trial0000019, 000450, SNPR, 171, 4, 42.750000, ZIP, 1401, 12, 116.750000, 51, 57, 
trial0000020, 000450, SNPR, 147, 4, 36.750000, ZIP, 1603, 12, 133.583333, N, 81, 
trial0000021, 000450, SNPR, 137, 4, 34.250000, ZIP, 1418, 12, 118.166667, 55, 75, 
trial0000022, 000450, SNPR, 192, 4, 48.000000, ZIP, 1595, 12, 132.916667, 57, 58, 
trial0000023, 000450, SNPR, 115, 4, 28.750000, ZIP, 1408, 12, 117.333333, 55, 61, 
trial0000024, 000450, SNPR, 118, 4, 29.500000, ZIP, 1457, 12, 121.416667, 35, 39, 
trial0000025, 000450, SNPR, 146, 4, 36.500000, ZIP, 1450, 12, 120.833333, 58, 89, 
trial0000026, 000450, SNPR, 82, 4, 20.500000, ZIP, 1426, 12, 118.833333, 60, 244, 
trial0000027, 000450, SNPR, 100, 4, 25.000000, ZIP, 1528, 12, 127.333333, 56, 109, 
trial0000028, 000450, SNPR, 180, 4, 45.000000, ZIP, 1557, 12, 129.750000, 60, 75, 
trial0000029, 000450, SNPR, 114, 4, 28.500000, ZIP, 1464, 12, 122.000000, 51, 80, 
trial0000030, 000450, SNPR, 118, 4, 29.500000, ZIP, 1577, 12, 131.416667, 46, N, 
trial0000031, 000450, SNPR, 210, 4, 52.500000, ZIP, 1548, 12, 129.000000, 51, 85, 
trial0000032, 000450, SNPR, 237, 4, 59.250000, ZIP, 1439, 12, 119.916667, 51, 75, 
trial0000033, 000450, SNPR, 126, 4, 31.500000, ZIP, 1555, 12, 129.583333, 64, 91, 
trial0000034, 000450, SNPR, 256, 4, 64.000000, ZIP, 1291, 12, 107.583333, 43, 82, 
trial0000035, 000450, SNPR, 171, 4, 42.750000, ZIP, 1575, 12, 131.250000, 56, 116, 
trial0000036, 000450, SNPR, 160, 4, 40.000000, ZIP, 1454, 12, 121.166667, 46, N, 
trial0000037, 000450, SNPR, 205, 4, 51.250000, ZIP, 1520, 12, 126.666667, 57, 98, 
trial0000038, 000450, SNPR, 155, 4, 38.750000, ZIP, 1540, 12, 128.333333, 51, 88, 
trial0000039, 000450, SNPR, 140, 4, 35.000000, ZIP, 1498, 12, 124.833333, 27, 44, 
trial0000040, 000450, SNPR, 201, 4, 50.250000, ZIP, 1181, 12, 98.416667, 49, N, 
trial0000041, 000450, SNPR, 202, 4, 50.500000, ZIP, 1535, 12, 127.916667, 38, 46, 
trial0000042, 000450, SNPR, 176, 4, 44.000000, ZIP, 1355, 12, 112.916667, 31, 275, 
