trial0000004, 000450, SNPR, 9, 4, 2.250000, SZIP, 172, 12, 14.333333, 67, 97, 
trial0000005, 000450, SNPR, 13, 4, 3.250000, SZIP, 168, 12, 14.000000, 73, 125, 
trial0000006, 000450, SNPR, 31, 4, 7.750000, SZIP, 256, 12, 21.333333, 98, 118, 
trial0000007, 000450, SNPR, 24, 4, 6.000000, SZIP, 201, 12, 16.750000, 82, 133, 
trial0000008, 000450, SNPR, 9, 4, 2.250000, SZIP, 226, 12, 18.833333, 82, 123, 
trial0000009, 000450, SNPR, 23, 4, 5.750000, SZIP, 214, 12, 17.833333, 72, 134, 
trial0000010, 000450, SNPR, 24, 4, 6.000000, SZIP, 270, 12, 22.500000, 80, 107, 
trial0000011, 000450, SNPR, 11, 4, 2.750000, SZIP, 262, 12, 21.833333, 69, 118, 
trial0000012, 000450, SNPR, 14, 4, 3.500000, SZIP, 254, 12, 21.166667, 69, 106, 
trial0000013, 000450, SNPR, 7, 4, 1.750000, SZIP, 293, 12, 24.416667, 82, 104, 
trial0000014, 000450, SNPR, 17, 4, 4.250000, SZIP, 176, 12, 14.666667, 103, 126, 
trial0000015, 000450, SNPR, 15, 4, 3.750000, SZIP, 233, 12, 19.416667, 82, 100, 
trial0000016, 000450, SNPR, 18, 4, 4.500000, SZIP, 224, 12, 18.666667, 72, 132, 
trial0000017, 000450, SNPR, 30, 4, 7.500000, SZIP, 206, 12, 17.166667, 78, 124, 
trial0000018, 000450, SNPR, 5, 4, 1.250000, SZIP, 211, 12, 17.583333, 63, 118, 
trial0000019, 000450, SNPR, 26, 4, 6.500000, SZIP, 145, 12, 12.083333, 82, 111, 
trial0000020, 000450, SNPR, 29, 4, 7.250000, SZIP, 173, 12, 14.416667, 98, 103, 
trial0000021, 000450, SNPR, 26, 4, 6.500000, SZIP, 205, 12, 17.083333, 106, 117, 
trial0000022, 000450, SNPR, 22, 4, 5.500000, SZIP, 191, 12, 15.916667, 88, 143, 
trial0000023, 000450, SNPR, 16, 4, 4.000000, SZIP, 190, 12, 15.833333, 82, 116, 
trial0000024, 000450, SNPR, 7, 4, 1.750000, SZIP, 261, 12, 21.750000, 101, 120, 
trial0000025, 000450, SNPR, 14, 4, 3.500000, SZIP, 181, 12, 15.083333, 82, 116, 
trial0000026, 000450, SNPR, -36, 4, -9.000000, SZIP, 240, 12, 20.000000, 100, 117, 
trial0000027, 000450, SNPR, 17, 4, 4.250000, SZIP, 257, 12, 21.416667, 81, 130, 
trial0000028, 000450, SNPR, 16, 4, 4.000000, SZIP, 146, 12, 12.166667, 83, 120, 
trial0000029, 000450, SNPR, 8, 4, 2.000000, SZIP, 203, 12, 16.916667, 87, 129, 
trial0000030, 000450, SNPR, 3, 4, 0.750000, SZIP, 162, 12, 13.500000, 72, 114, 
trial0000031, 000450, SNPR, 11, 4, 2.750000, SZIP, 214, 12, 17.833333, 82, 124, 
trial0000032, 000450, SNPR, 11, 4, 2.750000, SZIP, 211, 12, 17.583333, 92, 113, 
trial0000033, 000450, SNPR, 11, 4, 2.750000, SZIP, 207, 12, 17.250000, 77, 142, 
trial0000034, 000450, SNPR, 14, 4, 3.500000, SZIP, 191, 12, 15.916667, 82, 126, 
trial0000035, 000450, SNPR, 1, 4, 0.250000, SZIP, 192, 12, 16.000000, 95, 101, 
trial0000036, 000450, SNPR, 11, 4, 2.750000, SZIP, 245, 12, 20.416667, 71, 120, 
trial0000037, 000450, SNPR, 5, 4, 1.250000, SZIP, 250, 12, 20.833333, 89, 118, 
trial0000038, 000450, SNPR, 34, 4, 8.500000, SZIP, 180, 12, 15.000000, 76, 118, 
trial0000039, 000450, SNPR, 7, 4, 1.750000, SZIP, 250, 12, 20.833333, 79, 132, 
trial0000040, 000450, SNPR, 11, 4, 2.750000, SZIP, 166, 12, 13.833333, 85, 118, 
trial0000041, 000450, SNPR, 14, 4, 3.500000, SZIP, 247, 12, 20.583333, 82, 100, 
trial0000042, 000450, SNPR, 21, 4, 5.250000, SZIP, 234, 12, 19.500000, 82, 111, 
trial0000043, 000450, SNPR, 15, 4, 3.750000, SZIP, 209, 12, 17.416667, 61, 132, 
trial0000044, 000450, SNPR, 36, 4, 9.000000, SZIP, 200, 12, 16.666667, 85, 118, 
trial0000045, 000450, SNPR, 33, 4, 8.250000, SZIP, 226, 12, 18.833333, 70, 102, 
trial0000046, 000450, SNPR, 28, 4, 7.000000, SZIP, 198, 12, 16.500000, 82, 134, 
trial0000047, 000450, SNPR, 19, 4, 4.750000, SZIP, 228, 12, 19.000000, 100, 111, 
trial0000048, 000450, SNPR, 0, 4, 0.000000, SZIP, 228, 12, 19.000000, 82, 121, 
trial0000049, 000450, SNPR, 26, 4, 6.500000, SZIP, 206, 12, 17.166667, 82, 127, 
trial0000050, 000450, SNPR, 18, 4, 4.500000, SZIP, 225, 12, 18.750000, 82, 105, 
trial0000001, 000450, SNPR, 44, 6, 7.333333, SZIP, 184, 10, 18.400000, 78, 118, 
trial0000002, 000450, SNPR, 11, 6, 1.833333, SZIP, 177, 10, 17.700000, 82, 120, 
trial0000003, 000450, SNPR, 41, 6, 6.833333, SZIP, 148, 10, 14.800000, 82, 122, 
trial0000004, 000450, SNPR, 24, 6, 4.000000, SZIP, 183, 10, 18.300000, 82, 118, 
trial0000005, 000450, SNPR, 45, 6, 7.500000, SZIP, 168, 10, 16.800000, 76, 118, 
trial0000006, 000450, SNPR, 16, 6, 2.666667, SZIP, 179, 10, 17.900000, 78, 106, 
trial0000007, 000450, SNPR, 19, 6, 3.166667, SZIP, 181, 10, 18.100000, 94, 97, 
trial0000008, 000450, SNPR, 21, 6, 3.500000, SZIP, 190, 10, 19.000000, 100, 104, 
trial0000009, 000450, SNPR, 12, 6, 2.000000, SZIP, 232, 10, 23.200000, 82, 118, 
trial0000010, 000450, SNPR, 29, 6, 4.833333, SZIP, 144, 10, 14.400000, 96, 100, 
trial0000011, 000450, SNPR, 0, 6, 0.000000, SZIP, 210, 10, 21.000000, 80, 118, 
trial0000012, 000450, SNPR, 30, 6, 5.000000, SZIP, 136, 10, 13.600000, 59, 98, 
trial0000013, 000450, SNPR, 0, 6, 0.000000, SZIP, 174, 10, 17.400000, 64, 105, 
trial0000014, 000450, SNPR, 34, 6, 5.666667, SZIP, 203, 10, 20.300000, 87, 144, 
trial0000015, 000450, SNPR, 21, 6, 3.500000, SZIP, 193, 10, 19.300000, 76, 120, 
trial0000016, 000450, SNPR, 26, 6, 4.333333, SZIP, 152, 10, 15.200000, 104, 118, 
trial0000017, 000450, SNPR, 22, 6, 3.666667, SZIP, 137, 10, 13.700000, 82, 137, 
trial0000018, 000450, SNPR, 20, 6, 3.333333, SZIP, 234, 10, 23.400000, 78, 104, 
trial0000019, 000450, SNPR, 56, 6, 9.333333, SZIP, 236, 10, 23.600000, 81, 127, 
trial0000020, 000450, SNPR, 21, 6, 3.500000, SZIP, 143, 10, 14.300000, 82, 118, 
trial0000021, 000450, SNPR, 18, 6, 3.000000, SZIP, 183, 10, 18.300000, 82, 107, 
trial0000022, 000450, SNPR, -11, 6, -1.833333, SZIP, 212, 10, 21.200000, 61, 110, 
trial0000023, 000450, SNPR, 23, 6, 3.833333, SZIP, 179, 10, 17.900000, 82, 109, 
trial0000024, 000450, SNPR, 33, 6, 5.500000, SZIP, 205, 10, 20.500000, 79, 124, 
trial0000025, 000450, SNPR, 25, 6, 4.166667, SZIP, 139, 10, 13.900000, 81, 120, 
trial0000026, 000450, SNPR, 9, 6, 1.500000, SZIP, 168, 10, 16.800000, 82, 118, 
trial0000027, 000450, SNPR, 38, 6, 6.333333, SZIP, 170, 10, 17.000000, 97, 118, 
trial0000028, 000450, SNPR, 13, 6, 2.166667, SZIP, 192, 10, 19.200000, 78, 99, 
trial0000029, 000450, SNPR, 25, 6, 4.166667, SZIP, 201, 10, 20.100000, 73, 101, 
trial0000030, 000450, SNPR, 25, 6, 4.166667, SZIP, 155, 10, 15.500000, 77, 134, 
trial0000031, 000450, SNPR, 39, 6, 6.500000, SZIP, 185, 10, 18.500000, 78, 139, 
trial0000032, 000450, SNPR, 37, 6, 6.166667, SZIP, 167, 10, 16.700000, 80, 136, 
trial0000033, 000450, SNPR, 28, 6, 4.666667, SZIP, 134, 10, 13.400000, 89, 124, 
trial0000034, 000450, SNPR, 21, 6, 3.500000, SZIP, 130, 10, 13.000000, 106, 118, 
trial0000035, 000450, SNPR, 50, 6, 8.333333, SZIP, 254, 10, 25.400000, 82, 120, 
trial0000036, 000450, SNPR, 8, 6, 1.333333, SZIP, 205, 10, 20.500000, 99, 136, 
trial0000037, 000450, SNPR, 14, 6, 2.333333, SZIP, 159, 10, 15.900000, 82, 126, 
trial0000038, 000450, SNPR, 18, 6, 3.000000, SZIP, 157, 10, 15.700000, 88, 132, 
trial0000039, 000450, SNPR, 29, 6, 4.833333, SZIP, 222, 10, 22.200000, 82, 120, 
trial0000040, 000450, SNPR, 36, 6, 6.000000, SZIP, 185, 10, 18.500000, 92, 109, 
trial0000041, 000450, SNPR, 23, 6, 3.833333, SZIP, 167, 10, 16.700000, 102, 132, 
trial0000042, 000450, SNPR, 23, 6, 3.833333, SZIP, 157, 10, 15.700000, 82, 118, 
trial0000043, 000450, SNPR, 14, 6, 2.333333, SZIP, 153, 10, 15.300000, 69, 130, 
trial0000044, 000450, SNPR, 36, 6, 6.000000, SZIP, 117, 10, 11.700000, 71, 138, 
trial0000045, 000450, SNPR, 14, 6, 2.333333, SZIP, 213, 10, 21.300000, 67, 125, 
trial0000046, 000450, SNPR, 11, 6, 1.833333, SZIP, 187, 10, 18.700000, 64, 116, 
trial0000047, 000450, SNPR, 34, 6, 5.666667, SZIP, 166, 10, 16.600000, 79, 119, 
trial0000048, 000450, SNPR, 0, 6, 0.000000, SZIP, 165, 10, 16.500000, 87, 136, 
trial0000049, 000450, SNPR, 14, 6, 2.333333, SZIP, 186, 10, 18.600000, 89, 95, 
trial0000050, 000450, SNPR, 24, 6, 4.000000, SZIP, 170, 10, 17.000000, 79, 126, 
trial0000001, 000450, SNPR, 23, 8, 2.875000, SZIP, 110, 8, 13.750000, 82, 132, 
trial0000002, 000450, SNPR, 23, 8, 2.875000, SZIP, 151, 8, 18.875000, 82, 133, 
trial0000003, 000450, SNPR, 33, 8, 4.125000, SZIP, 149, 8, 18.625000, 72, 137, 
trial0000004, 000450, SNPR, 11, 8, 1.375000, SZIP, 127, 8, 15.875000, 88, 126, 
trial0000005, 000450, SNPR, 41, 8, 5.125000, SZIP, 128, 8, 16.000000, 74, 118, 
trial0000006, 000450, SNPR, 37, 8, 4.625000, SZIP, 160, 8, 20.000000, 88, 136, 
trial0000007, 000450, SNPR, 36, 8, 4.500000, SZIP, 161, 8, 20.125000, 76, 123, 
trial0000008, 000450, SNPR, 0, 8, 0.000000, SZIP, 151, 8, 18.875000, 85, 100, 
trial0000009, 000450, SNPR, 36, 8, 4.500000, SZIP, 156, 8, 19.500000, 86, 104, 
trial0000010, 000450, SNPR, 17, 8, 2.125000, SZIP, 173, 8, 21.625000, 76, 142, 
trial0000011, 000450, SNPR, 30, 8, 3.750000, SZIP, 132, 8, 16.500000, 69, 111, 
trial0000012, 000450, SNPR, 51, 8, 6.375000, SZIP, 206, 8, 25.750000, 97, 142, 
trial0000013, 000450, SNPR, 14, 8, 1.750000, SZIP, 147, 8, 18.375000, 67, 119, 
trial0000014, 000450, SNPR, 22, 8, 2.750000, SZIP, 146, 8, 18.250000, 82, 121, 
trial0000015, 000450, SNPR, 22, 8, 2.750000, SZIP, 171, 8, 21.375000, 82, 131, 
trial0000016, 000450, SNPR, 6, 8, 0.750000, SZIP, 145, 8, 18.125000, 78, 119, 
trial0000017, 000450, SNPR, 46, 8, 5.750000, SZIP, 137, 8, 17.125000, 82, 131, 
trial0000018, 000450, SNPR, 51, 8, 6.375000, SZIP, 206, 8, 25.750000, 81, 124, 
trial0000019, 000450, SNPR, 32, 8, 4.000000, SZIP, 139, 8, 17.375000, 96, 102, 
trial0000020, 000450, SNPR, 21, 8, 2.625000, SZIP, 139, 8, 17.375000, 70, 118, 
trial0000021, 000450, SNPR, 7, 8, 0.875000, SZIP, 188, 8, 23.500000, 85, 132, 
trial0000022, 000450, SNPR, 10, 8, 1.250000, SZIP, 122, 8, 15.250000, 82, 118, 
trial0000023, 000450, SNPR, 45, 8, 5.625000, SZIP, 144, 8, 18.000000, 82, 118, 
trial0000024, 000450, SNPR, 40, 8, 5.000000, SZIP, 164, 8, 20.500000, 75, 119, 
trial0000025, 000450, SNPR, 20, 8, 2.500000, SZIP, 175, 8, 21.875000, 78, 121, 
trial0000026, 000450, SNPR, 17, 8, 2.125000, SZIP, 159, 8, 19.875000, 99, 122, 
trial0000027, 000450, SNPR, 9, 8, 1.125000, SZIP, 112, 8, 14.000000, 73, 100, 
trial0000028, 000450, SNPR, 31, 8, 3.875000, SZIP, 170, 8, 21.250000, 75, 132, 
trial0000029, 000450, SNPR, 40, 8, 5.000000, SZIP, 116, 8, 14.500000, 78, 107, 
trial0000030, 000450, SNPR, 26, 8, 3.250000, SZIP, 142, 8, 17.750000, 82, 98, 
trial0000031, 000450, SNPR, 37, 8, 4.625000, SZIP, 181, 8, 22.625000, 85, 124, 
trial0000032, 000450, SNPR, 36, 8, 4.500000, SZIP, 114, 8, 14.250000, 95, 118, 
trial0000033, 000450, SNPR, 48, 8, 6.000000, SZIP, 114, 8, 14.250000, 82, 106, 
trial0000034, 000450, SNPR, 34, 8, 4.250000, SZIP, 157, 8, 19.625000, 82, 105, 
trial0000035, 000450, SNPR, 19, 8, 2.375000, SZIP, 192, 8, 24.000000, 106, 113, 
trial0000036, 000450, SNPR, 30, 8, 3.750000, SZIP, 172, 8, 21.500000, 73, 118, 
trial0000037, 000450, SNPR, 49, 8, 6.125000, SZIP, 134, 8, 16.750000, 75, 119, 
trial0000038, 000450, SNPR, 18, 8, 2.250000, SZIP, 140, 8, 17.500000, 79, 125, 
trial0000039, 000450, SNPR, 28, 8, 3.500000, SZIP, 150, 8, 18.750000, 97, 115, 
trial0000040, 000450, SNPR, 31, 8, 3.875000, SZIP, 157, 8, 19.625000, 82, 140, 
trial0000041, 000450, SNPR, 55, 8, 6.875000, SZIP, 90, 8, 11.250000, 82, 127, 
trial0000042, 000450, SNPR, 14, 8, 1.750000, SZIP, 126, 8, 15.750000, 78, 122, 
trial0000043, 000450, SNPR, 25, 8, 3.125000, SZIP, 169, 8, 21.125000, 82, 122, 
trial0000044, 000450, SNPR, 2, 8, 0.250000, SZIP, 133, 8, 16.625000, 105, 135, 
trial0000045, 000450, SNPR, -25, 8, -3.125000, SZIP, 131, 8, 16.375000, 79, 141, 
trial0000046, 000450, SNPR, 40, 8, 5.000000, SZIP, 103, 8, 12.875000, 72, 98, 
trial0000047, 000450, SNPR, 28, 8, 3.500000, SZIP, 175, 8, 21.875000, 101, 114, 
trial0000048, 000450, SNPR, 25, 8, 3.125000, SZIP, 165, 8, 20.625000, 81, 118, 
