trial0000012, 000450, SNPR, 491, 4, 122.750000, ZIP, 3223, 12, 268.583333, N, 32, 
trial0000013, 000450, SNPR, 564, 4, 141.000000, ZIP, 2828, 12, 235.666667, 67, 786, 
trial0000014, 000450, SNPR, 453, 4, 113.250000, ZIP, 3224, 12, 268.666667, 1, 38, 
trial0000015, 000450, SNPR, 448, 4, 112.000000, ZIP, 3227, 12, 268.916667, 156, 588, 
trial0000016, 000450, SNPR, 513, 4, 128.250000, ZIP, 2925, 12, 243.750000, N, 379, 
trial0000017, 000450, SNPR, 545, 4, 136.250000, ZIP, 2987, 12, 248.916667, 164, 383, 
trial0000018, 000450, SNPR, 609, 4, 152.250000, ZIP, 2813, 12, 234.416667, 156, 312, 
trial0000019, 000450, SNPR, 431, 4, 107.750000, ZIP, 3189, 12, 265.750000, 105, 278, 
trial0000020, 000450, SNPR, 683, 4, 170.750000, ZIP, 2812, 12, 234.333333, N, N, 
trial0000021, 000450, SNPR, 480, 4, 120.000000, ZIP, 2130, 12, 177.500000, 108, 727, 
trial0000022, 000450, SNPR, 427, 4, 106.750000, ZIP, 3263, 12, 271.916667, N, 339, 
trial0000023, 000450, SNPR, 593, 4, 148.250000, ZIP, 2733, 12, 227.750000, 121, 201, 
trial0000024, 000450, SNPR, 597, 4, 149.250000, ZIP, 2794, 12, 232.833333, 168, 201, 
trial0000025, 000450, SNPR, 572, 4, 143.000000, ZIP, 2248, 12, 187.333333, 133, N, 
trial0000026, 000450, SNPR, 605, 4, 151.250000, ZIP, 3011, 12, 250.916667, N, 828, 
trial0000027, 000450, SNPR, 615, 4, 153.750000, ZIP, 2719, 12, 226.583333, N, 102, 
trial0000028, 000450, SNPR, 424, 4, 106.000000, ZIP, 3040, 12, 253.333333, N, 195, 
trial0000029, 000450, SNPR, 497, 4, 124.250000, ZIP, 3126, 12, 260.500000, 88, 512, 
trial0000030, 000450, SNPR, 570, 4, 142.500000, ZIP, 3190, 12, 265.833333, 166, 925, 
trial0000031, 000450, SNPR, 553, 4, 138.250000, ZIP, 2928, 12, 244.000000, 119, N, 
trial0000032, 000450, SNPR, 486, 4, 121.500000, ZIP, 2894, 12, 241.166667, 168, 246, 
trial0000033, 000450, SNPR, 632, 4, 158.000000, ZIP, 2989, 12, 249.083333, 142, N, 
trial0000034, 000450, SNPR, 552, 4, 138.000000, ZIP, 2537, 12, 211.416667, N, 163, 
trial0000035, 000450, SNPR, 551, 4, 137.750000, ZIP, 3199, 12, 266.583333, 77, N, 
trial0000036, 000450, SNPR, 507, 4, 126.750000, ZIP, 3275, 12, 272.916667, 106, 503, 
trial0000037, 000450, SNPR, 429, 4, 107.250000, ZIP, 2377, 12, 198.083333, 165, 453, 
trial0000038, 000450, SNPR, 330, 4, 82.500000, ZIP, 2971, 12, 247.583333, 165, 610, 
trial0000039, 000450, SNPR, 443, 4, 110.750000, ZIP, 2910, 12, 242.500000, 135, 141, 
trial0000040, 000450, SNPR, 421, 4, 105.250000, ZIP, 2878, 12, 239.833333, N, 528, 
trial0000041, 000450, SNPR, 545, 4, 136.250000, ZIP, 2986, 12, 248.833333, N, 89, 
trial0000042, 000450, SNPR, 538, 4, 134.500000, ZIP, 3202, 12, 266.833333, 1, 281, 
trial0000043, 000450, SNPR, 533, 4, 133.250000, ZIP, 2834, 12, 236.166667, 134, N, 
trial0000044, 000450, SNPR, 342, 4, 85.500000, ZIP, 3229, 12, 269.083333, 157, 755, 
trial0000045, 000450, SNPR, 557, 4, 139.250000, ZIP, 2626, 12, 218.833333, N, 184, 
trial0000046, 000450, SNPR, 589, 4, 147.250000, ZIP, 2521, 12, 210.083333, 113, N, 
trial0000047, 000450, SNPR, 605, 4, 151.250000, ZIP, 2558, 12, 213.166667, N, 43, 
trial0000048, 000450, SNPR, 656, 4, 164.000000, ZIP, 2643, 12, 220.250000, N, 247, 
trial0000049, 000450, SNPR, 602, 4, 150.500000, ZIP, 3133, 12, 261.083333, 167, N, 
trial0000050, 000450, SNPR, 552, 4, 138.000000, ZIP, 3367, 12, 280.583333, 61, N, 
trial0000001, 000450, SNPR, 850, 6, 141.666667, ZIP, 2696, 10, 269.600000, 105, 801, 
trial0000002, 000450, SNPR, 1074, 6, 179.000000, ZIP, 2308, 10, 230.800000, N, 44, 
trial0000003, 000450, SNPR, 824, 6, 137.333333, ZIP, 2235, 10, 223.500000, 158, 730, 
trial0000004, 000450, SNPR, 632, 6, 105.333333, ZIP, 2795, 10, 279.500000, 162, 391, 
trial0000005, 000450, SNPR, 758, 6, 126.333333, ZIP, 2593, 10, 259.300000, 123, 215, 
trial0000006, 000450, SNPR, 530, 6, 88.333333, ZIP, 2824, 10, 282.400000, N, 32, 
trial0000007, 000450, SNPR, 588, 6, 98.000000, ZIP, 2925, 10, 292.500000, N, 40, 
trial0000008, 000450, SNPR, 854, 6, 142.333333, ZIP, 2488, 10, 248.800000, 109, 164, 
trial0000009, 000450, SNPR, 961, 6, 160.166667, ZIP, 2315, 10, 231.500000, N, N, 
trial0000010, 000450, SNPR, 688, 6, 114.666667, ZIP, 2547, 10, 254.700000, 80, N, 
trial0000011, 000450, SNPR, 684, 6, 114.000000, ZIP, 2086, 10, 208.600000, 167, 347, 
trial0000012, 000450, SNPR, 606, 6, 101.000000, ZIP, 2725, 10, 272.500000, 162, 294, 
trial0000013, 000450, SNPR, 541, 6, 90.166667, ZIP, 2964, 10, 296.400000, N, 178, 
trial0000014, 000450, SNPR, 726, 6, 121.000000, ZIP, 2364, 10, 236.400000, 136, 635, 
trial0000015, 000450, SNPR, 575, 6, 95.833333, ZIP, 2883, 10, 288.300000, 151, 821, 
trial0000016, 000450, SNPR, 791, 6, 131.833333, ZIP, 2797, 10, 279.700000, N, N, 
trial0000017, 000450, SNPR, 669, 6, 111.500000, ZIP, 2535, 10, 253.500000, N, 916, 
trial0000018, 000450, SNPR, 819, 6, 136.500000, ZIP, 2311, 10, 231.100000, 110, 137, 
trial0000019, 000450, SNPR, 928, 6, 154.666667, ZIP, 2332, 10, 233.200000, 161, N, 
trial0000020, 000450, SNPR, 771, 6, 128.500000, ZIP, 2260, 10, 226.000000, 164, 773, 
trial0000021, 000450, SNPR, 808, 6, 134.666667, ZIP, 2311, 10, 231.100000, 162, 233, 
trial0000022, 000450, SNPR, 947, 6, 157.833333, ZIP, 2172, 10, 217.200000, N, 56, 
trial0000023, 000450, SNPR, 820, 6, 136.666667, ZIP, 2796, 10, 279.600000, N, 39, 
trial0000024, 000450, SNPR, 786, 6, 131.000000, ZIP, 2847, 10, 284.700000, 139, 158, 
trial0000025, 000450, SNPR, 518, 6, 86.333333, ZIP, 2747, 10, 274.700000, 164, 244, 
trial0000026, 000450, SNPR, 649, 6, 108.166667, ZIP, 2660, 10, 266.000000, N, 1000, 
trial0000027, 000450, SNPR, 1014, 6, 169.000000, ZIP, 2651, 10, 265.100000, N, N, 
trial0000028, 000450, SNPR, 624, 6, 104.000000, ZIP, 2700, 10, 270.000000, 162, 201, 
trial0000029, 000450, SNPR, 625, 6, 104.166667, ZIP, 2584, 10, 258.400000, N, 277, 
trial0000030, 000450, SNPR, 1116, 6, 186.000000, ZIP, 2554, 10, 255.400000, N, N, 
trial0000031, 000450, SNPR, 811, 6, 135.166667, ZIP, 2461, 10, 246.100000, N, N, 
trial0000032, 000450, SNPR, 880, 6, 146.666667, ZIP, 2814, 10, 281.400000, N, N, 
trial0000033, 000450, SNPR, 661, 6, 110.166667, ZIP, 2574, 10, 257.400000, N, 35, 
trial0000034, 000450, SNPR, 603, 6, 100.500000, ZIP, 2404, 10, 240.400000, 154, 330, 
trial0000035, 000450, SNPR, 710, 6, 118.333333, ZIP, 2490, 10, 249.000000, 165, 314, 
trial0000036, 000450, SNPR, 865, 6, 144.166667, ZIP, 2558, 10, 255.800000, 118, N, 
trial0000037, 000450, SNPR, 560, 6, 93.333333, ZIP, 2287, 10, 228.700000, 149, 238, 
trial0000038, 000450, SNPR, 631, 6, 105.166667, ZIP, 2309, 10, 230.900000, 117, 267, 
trial0000039, 000450, SNPR, 812, 6, 135.333333, ZIP, 2190, 10, 219.000000, 166, 195, 
trial0000040, 000450, SNPR, 761, 6, 126.833333, ZIP, 2334, 10, 233.400000, 164, 187, 
trial0000041, 000450, SNPR, 506, 6, 84.333333, ZIP, 2738, 10, 273.800000, 167, 1000, 
trial0000042, 000450, SNPR, 720, 6, 120.000000, ZIP, 2496, 10, 249.600000, 168, 194, 
trial0000043, 000450, SNPR, 835, 6, 139.166667, ZIP, 2043, 10, 204.300000, 127, 1000, 
trial0000044, 000450, SNPR, 562, 6, 93.666667, ZIP, 2891, 10, 289.100000, 160, 422, 
trial0000045, 000450, SNPR, 650, 6, 108.333333, ZIP, 2717, 10, 271.700000, 1, 37, 
trial0000046, 000450, SNPR, 695, 6, 115.833333, ZIP, 2263, 10, 226.300000, 163, 280, 
trial0000047, 000450, SNPR, 799, 6, 133.166667, ZIP, 2687, 10, 268.700000, 112, N, 
trial0000048, 000450, SNPR, 731, 6, 121.833333, ZIP, 2191, 10, 219.100000, 150, 211, 
trial0000049, 000450, SNPR, 688, 6, 114.666667, ZIP, 2883, 10, 288.300000, N, 299, 
trial0000050, 000450, SNPR, 829, 6, 138.166667, ZIP, 2371, 10, 237.100000, N, 57, 
trial0000001, 000450, SNPR, 1163, 8, 145.375000, ZIP, 1990, 8, 248.750000, 149, 237, 
trial0000002, 000450, SNPR, 947, 8, 118.375000, ZIP, 1983, 8, 247.875000, 1, 33, 
trial0000003, 000450, SNPR, 1187, 8, 148.375000, ZIP, 2103, 8, 262.875000, N, 123, 
trial0000004, 000450, SNPR, 1262, 8, 157.750000, ZIP, 1789, 8, 223.625000, 168, 170, 
trial0000005, 000450, SNPR, 1056, 8, 132.000000, ZIP, 2377, 8, 297.125000, 159, 226, 
trial0000006, 000450, SNPR, 1288, 8, 161.000000, ZIP, 1762, 8, 220.250000, N, 94, 
trial0000007, 000450, SNPR, 1163, 8, 145.375000, ZIP, 1996, 8, 249.500000, N, N, 
trial0000008, 000450, SNPR, 1088, 8, 136.000000, ZIP, 2206, 8, 275.750000, N, N, 
trial0000009, 000450, SNPR, 539, 8, 67.375000, ZIP, 2143, 8, 267.875000, 161, 531, 
trial0000010, 000450, SNPR, 878, 8, 109.750000, ZIP, 2237, 8, 279.625000, 162, 742, 
trial0000011, 000450, SNPR, 800, 8, 100.000000, ZIP, 2537, 8, 317.125000, N, 1000, 
trial0000012, 000450, SNPR, 1095, 8, 136.875000, ZIP, 1757, 8, 219.625000, 165, N, 
trial0000013, 000450, SNPR, 992, 8, 124.000000, ZIP, 1696, 8, 212.000000, N, 49, 
trial0000014, 000450, SNPR, 1211, 8, 151.375000, ZIP, 1503, 8, 187.875000, 163, 173, 
trial0000015, 000450, SNPR, 616, 8, 77.000000, ZIP, 2186, 8, 273.250000, N, 31, 
trial0000016, 000450, SNPR, 1013, 8, 126.625000, ZIP, 2105, 8, 263.125000, 167, 842, 
trial0000017, 000450, SNPR, 959, 8, 119.875000, ZIP, 1910, 8, 238.750000, 163, 902, 
trial0000018, 000450, SNPR, 1222, 8, 152.750000, ZIP, 1922, 8, 240.250000, 120, N, 
trial0000019, 000450, SNPR, 843, 8, 105.375000, ZIP, 2106, 8, 263.250000, 144, 270, 
trial0000020, 000450, SNPR, 1145, 8, 143.125000, ZIP, 2030, 8, 253.750000, 164, 226, 
trial0000021, 000450, SNPR, 1014, 8, 126.750000, ZIP, 2100, 8, 262.500000, 167, 921, 
trial0000022, 000450, SNPR, 912, 8, 114.000000, ZIP, 2199, 8, 274.875000, 156, 358, 
trial0000023, 000450, SNPR, 742, 8, 92.750000, ZIP, 1993, 8, 249.125000, 162, 327, 
trial0000024, 000450, SNPR, 857, 8, 107.125000, ZIP, 2229, 8, 278.625000, 166, 177, 
trial0000025, 000450, SNPR, 785, 8, 98.125000, ZIP, 2134, 8, 266.750000, N, 32, 
trial0000026, 000450, SNPR, 797, 8, 99.625000, ZIP, 1898, 8, 237.250000, 168, 170, 
trial0000027, 000450, SNPR, 1103, 8, 137.875000, ZIP, 2068, 8, 258.500000, N, 65, 
trial0000028, 000450, SNPR, 1159, 8, 144.875000, ZIP, 1948, 8, 243.500000, 164, 188, 
trial0000029, 000450, SNPR, 943, 8, 117.875000, ZIP, 1663, 8, 207.875000, 105, N, 
trial0000030, 000450, SNPR, 742, 8, 92.750000, ZIP, 2167, 8, 270.875000, 99, N, 
trial0000031, 000450, SNPR, 1126, 8, 140.750000, ZIP, 2402, 8, 300.250000, 101, 189, 
trial0000032, 000450, SNPR, 965, 8, 120.625000, ZIP, 1665, 8, 208.125000, N, 304, 
trial0000033, 000450, SNPR, 823, 8, 102.875000, ZIP, 2068, 8, 258.500000, 167, 433, 
trial0000034, 000450, SNPR, 1047, 8, 130.875000, ZIP, 1962, 8, 245.250000, N, 344, 
trial0000035, 000450, SNPR, 1066, 8, 133.250000, ZIP, 2000, 8, 250.000000, 168, 666, 
trial0000036, 000450, SNPR, 1078, 8, 134.750000, ZIP, 2047, 8, 255.875000, 160, 261, 
trial0000037, 000450, SNPR, 792, 8, 99.000000, ZIP, 2118, 8, 264.750000, 167, 207, 
trial0000038, 000450, SNPR, 1097, 8, 137.125000, ZIP, 2152, 8, 269.000000, 167, 336, 
trial0000039, 000450, SNPR, 711, 8, 88.875000, ZIP, 2011, 8, 251.375000, 161, 233, 
trial0000040, 000450, SNPR, 958, 8, 119.750000, ZIP, 1984, 8, 248.000000, 150, 240, 
trial0000041, 000450, SNPR, 1180, 8, 147.500000, ZIP, 1615, 8, 201.875000, 166, N, 
trial0000042, 000450, SNPR, 1146, 8, 143.250000, ZIP, 2272, 8, 284.000000, N, 94, 
trial0000043, 000450, SNPR, 1223, 8, 152.875000, ZIP, 1776, 8, 222.000000, 56, 1000, 
