trial0000001, 000450, SNPR, 309, 2, 154.500000, SZIP, 3181, 14, 227.214286, 149, 254, 
trial0000002, 000450, SNPR, 285, 2, 142.500000, SZIP, 3048, 14, 217.714286, 166, N, 
trial0000003, 000450, SNPR, 213, 2, 106.500000, SZIP, 3521, 14, 251.500000, 153, 293, 
trial0000004, 000450, SNPR, 217, 2, 108.500000, SZIP, 2997, 14, 214.071429, N, 930, 
trial0000005, 000450, SNPR, 245, 2, 122.500000, SZIP, 2879, 14, 205.642857, 168, 827, 
trial0000006, 000450, SNPR, 354, 2, 177.000000, SZIP, 3186, 14, 227.571429, 1, N, 
trial0000007, 000450, SNPR, 334, 2, 167.000000, SZIP, 3654, 14, 261.000000, 1, 40, 
trial0000008, 000450, SNPR, 61, 2, 30.500000, SZIP, 3449, 14, 246.357143, 165, 470, 
trial0000009, 000450, SNPR, 260, 2, 130.000000, SZIP, 3227, 14, 230.500000, 85, 834, 
trial0000010, 000450, SNPR, 81, 2, 40.500000, SZIP, 3284, 14, 234.571429, 142, 832, 
trial0000011, 000450, SNPR, 267, 2, 133.500000, SZIP, 2928, 14, 209.142857, 167, N, 
trial0000012, 000450, SNPR, 364, 2, 182.000000, SZIP, 2922, 14, 208.714286, 160, 429, 
trial0000013, 000450, SNPR, 104, 2, 52.000000, SZIP, 3213, 14, 229.500000, 167, 215, 
trial0000014, 000450, SNPR, 249, 2, 124.500000, SZIP, 2906, 14, 207.571429, 1, 33, 
trial0000015, 000450, SNPR, 181, 2, 90.500000, SZIP, 2706, 14, 193.285714, 166, 323, 
trial0000016, 000450, SNPR, 145, 2, 72.500000, SZIP, 2909, 14, 207.785714, N, 34, 
trial0000017, 000450, SNPR, 235, 2, 117.500000, SZIP, 2564, 14, 183.142857, 165, 725, 
trial0000018, 000450, SNPR, 190, 2, 95.000000, SZIP, 3575, 14, 255.357143, 1, 33, 
trial0000019, 000450, SNPR, 254, 2, 127.000000, SZIP, 3543, 14, 253.071429, 159, N, 
trial0000020, 000450, SNPR, 263, 2, 131.500000, SZIP, 3745, 14, 267.500000, N, 41, 
trial0000021, 000450, SNPR, 248, 2, 124.000000, SZIP, 2825, 14, 201.785714, 1, 32, 
trial0000022, 000450, SNPR, 317, 2, 158.500000, SZIP, 3630, 14, 259.285714, 110, 1000, 
trial0000023, 000450, SNPR, 272, 2, 136.000000, SZIP, 2828, 14, 202.000000, N, 32, 
trial0000024, 000450, SNPR, 90, 2, 45.000000, SZIP, 3689, 14, 263.500000, 1, 507, 
trial0000025, 000450, SNPR, 111, 2, 55.500000, SZIP, 3761, 14, 268.642857, N, 34, 
trial0000026, 000450, SNPR, 186, 2, 93.000000, SZIP, 3309, 14, 236.357143, N, 32, 
trial0000027, 000450, SNPR, 205, 2, 102.500000, SZIP, 3018, 14, 215.571429, 1, 35, 
trial0000028, 000450, SNPR, 70, 2, 35.000000, SZIP, 3054, 14, 218.142857, N, 35, 
trial0000029, 000450, SNPR, 129, 2, 64.500000, SZIP, 3164, 14, 226.000000, N, 43, 
trial0000030, 000450, SNPR, 189, 2, 94.500000, SZIP, 3550, 14, 253.571429, 149, 608, 
trial0000031, 000450, SNPR, 214, 2, 107.000000, SZIP, 3449, 14, 246.357143, 1, 37, 
trial0000032, 000450, SNPR, 268, 2, 134.000000, SZIP, 2908, 14, 207.714286, 167, 577, 
trial0000033, 000450, SNPR, 284, 2, 142.000000, SZIP, 3144, 14, 224.571429, 168, 324, 
trial0000034, 000450, SNPR, 150, 2, 75.000000, SZIP, 3491, 14, 249.357143, N, 64, 
trial0000035, 000450, SNPR, 226, 2, 113.000000, SZIP, 3880, 14, 277.142857, N, 198, 
trial0000036, 000450, SNPR, 239, 2, 119.500000, SZIP, 3709, 14, 264.928571, N, 706, 
trial0000037, 000450, SNPR, 213, 2, 106.500000, SZIP, 3005, 14, 214.642857, 166, 463, 
trial0000038, 000450, SNPR, 176, 2, 88.000000, SZIP, 3598, 14, 257.000000, N, N, 
trial0000039, 000450, SNPR, 247, 2, 123.500000, SZIP, 2978, 14, 212.714286, N, N, 
trial0000040, 000450, SNPR, 136, 2, 68.000000, SZIP, 3455, 14, 246.785714, N, N, 
trial0000041, 000450, SNPR, 122, 2, 61.000000, SZIP, 3071, 14, 219.357143, 168, 669, 
trial0000042, 000450, SNPR, 223, 2, 111.500000, SZIP, 3221, 14, 230.071429, 167, 919, 
trial0000043, 000450, SNPR, 270, 2, 135.000000, SZIP, 3031, 14, 216.500000, N, 35, 
trial0000044, 000450, SNPR, 270, 2, 135.000000, SZIP, 3554, 14, 253.857143, 164, N, 
trial0000045, 000450, SNPR, 96, 2, 48.000000, SZIP, 3538, 14, 252.714286, N, 32, 
trial0000046, 000450, SNPR, 71, 2, 35.500000, SZIP, 3576, 14, 255.428571, N, 36, 
trial0000047, 000450, SNPR, 236, 2, 118.000000, SZIP, 3705, 14, 264.642857, N, N, 
trial0000048, 000450, SNPR, 256, 2, 128.000000, SZIP, 2864, 14, 204.571429, 163, N, 
trial0000049, 000450, SNPR, 289, 2, 144.500000, SZIP, 3717, 14, 265.500000, 163, 893, 
trial0000050, 000450, SNPR, 277, 2, 138.500000, SZIP, 3645, 14, 260.357143, 1, N, 
trial0000001, 000450, SNPR, 510, 4, 127.500000, SZIP, 2698, 12, 224.833333, 162, N, 
