trial0000012, 000450, SNPR, 85, 4, 21.250000, SZIP, 1392, 12, 116.000000, 52, 166, 
trial0000013, 000450, SNPR, 206, 4, 51.500000, SZIP, 1373, 12, 114.416667, 59, 94, 
trial0000014, 000450, SNPR, 195, 4, 48.750000, SZIP, 1182, 12, 98.500000, 53, 88, 
trial0000015, 000450, SNPR, 146, 4, 36.500000, SZIP, 1309, 12, 109.083333, 59, 866, 
trial0000016, 000450, SNPR, 184, 4, 46.000000, SZIP, 1324, 12, 110.333333, N, 728, 
trial0000017, 000450, SNPR, 166, 4, 41.500000, SZIP, 1359, 12, 113.250000, 1, N, 
trial0000018, 000450, SNPR, 107, 4, 26.750000, SZIP, 1131, 12, 94.250000, 60, 87, 
trial0000019, 000450, SNPR, 96, 4, 24.000000, SZIP, 1245, 12, 103.750000, 53, 528, 
trial0000020, 000450, SNPR, 220, 4, 55.000000, SZIP, 1272, 12, 106.000000, 59, N, 
trial0000021, 000450, SNPR, 133, 4, 33.250000, SZIP, 1306, 12, 108.833333, N, N, 
trial0000022, 000450, SNPR, 215, 4, 53.750000, SZIP, 1473, 12, 122.750000, 55, 83, 
trial0000023, 000450, SNPR, 115, 4, 28.750000, SZIP, 1526, 12, 127.166667, 58, 90, 
trial0000024, 000450, SNPR, 175, 4, 43.750000, SZIP, 1278, 12, 106.500000, 1, N, 
trial0000025, 000450, SNPR, 109, 4, 27.250000, SZIP, 1463, 12, 121.916667, 53, 869, 
trial0000026, 000450, SNPR, 208, 4, 52.000000, SZIP, 1218, 12, 101.500000, 71, 420, 
trial0000027, 000450, SNPR, 123, 4, 30.750000, SZIP, 1530, 12, 127.500000, N, N, 
trial0000028, 000450, SNPR, 192, 4, 48.000000, SZIP, 1362, 12, 113.500000, 63, 70, 
trial0000029, 000450, SNPR, 130, 4, 32.500000, SZIP, 1613, 12, 134.416667, 55, N, 
trial0000030, 000450, SNPR, 56, 4, 14.000000, SZIP, 1509, 12, 125.750000, 64, N, 
trial0000031, 000450, SNPR, 149, 4, 37.250000, SZIP, 1535, 12, 127.916667, N, 41, 
trial0000032, 000450, SNPR, 95, 4, 23.750000, SZIP, 1535, 12, 127.916667, N, N, 
trial0000033, 000450, SNPR, 129, 4, 32.250000, SZIP, 1425, 12, 118.750000, 59, N, 
trial0000034, 000450, SNPR, 220, 4, 55.000000, SZIP, 1445, 12, 120.416667, N, N, 
trial0000035, 000450, SNPR, 164, 4, 41.000000, SZIP, 1424, 12, 118.666667, 61, N, 
trial0000036, 000450, SNPR, 174, 4, 43.500000, SZIP, 1468, 12, 122.333333, 56, 67, 
trial0000037, 000450, SNPR, 96, 4, 24.000000, SZIP, 1558, 12, 129.833333, 62, 402, 
trial0000038, 000450, SNPR, 202, 4, 50.500000, SZIP, 1151, 12, 95.916667, N, 35, 
trial0000039, 000450, SNPR, 173, 4, 43.250000, SZIP, 1175, 12, 97.916667, 53, 88, 
trial0000040, 000450, SNPR, 139, 4, 34.750000, SZIP, 1438, 12, 119.833333, 1, N, 
trial0000041, 000450, SNPR, 190, 4, 47.500000, SZIP, 1261, 12, 105.083333, 63, 1000, 
trial0000042, 000450, SNPR, 117, 4, 29.250000, SZIP, 1604, 12, 133.666667, 52, 903, 
trial0000043, 000450, SNPR, 86, 4, 21.500000, SZIP, 1570, 12, 130.833333, 62, 89, 
trial0000044, 000450, SNPR, 187, 4, 46.750000, SZIP, 1279, 12, 106.583333, 52, 84, 
trial0000045, 000450, SNPR, 125, 4, 31.250000, SZIP, 1518, 12, 126.500000, 60, N, 
trial0000046, 000450, SNPR, 196, 4, 49.000000, SZIP, 1481, 12, 123.416667, N, 44, 
trial0000047, 000450, SNPR, 55, 4, 13.750000, SZIP, 1373, 12, 114.416667, 58, 917, 
trial0000048, 000450, SNPR, 73, 4, 18.250000, SZIP, 1552, 12, 129.333333, N, 37, 
trial0000049, 000450, SNPR, 139, 4, 34.750000, SZIP, 1311, 12, 109.250000, N, 42, 
trial0000050, 000450, SNPR, 156, 4, 39.000000, SZIP, 1404, 12, 117.000000, 1, 58, 
trial0000001, 000450, SNPR, 153, 6, 25.500000, SZIP, 1199, 10, 119.900000, 63, 479, 
trial0000002, 000450, SNPR, 230, 6, 38.333333, SZIP, 1208, 10, 120.800000, 1, 40, 
trial0000003, 000450, SNPR, 180, 6, 30.000000, SZIP, 1173, 10, 117.300000, 56, N, 
trial0000004, 000450, SNPR, 137, 6, 22.833333, SZIP, 1220, 10, 122.000000, N, 756, 
trial0000005, 000450, SNPR, 334, 6, 55.666667, SZIP, 1037, 10, 103.700000, 52, 826, 
trial0000006, 000450, SNPR, 236, 6, 39.333333, SZIP, 1232, 10, 123.200000, 53, 823, 
trial0000007, 000450, SNPR, 117, 6, 19.500000, SZIP, 1103, 10, 110.300000, 1, 33, 
trial0000008, 000450, SNPR, 247, 6, 41.166667, SZIP, 1135, 10, 113.500000, 59, N, 
trial0000009, 000450, SNPR, 291, 6, 48.500000, SZIP, 944, 10, 94.400000, N, 46, 
trial0000010, 000450, SNPR, 119, 6, 19.833333, SZIP, 1204, 10, 120.400000, N, 86, 
trial0000011, 000450, SNPR, 237, 6, 39.500000, SZIP, 1266, 10, 126.600000, N, 50, 
trial0000012, 000450, SNPR, 220, 6, 36.666667, SZIP, 1090, 10, 109.000000, 61, 837, 
trial0000013, 000450, SNPR, 184, 6, 30.666667, SZIP, 1116, 10, 111.600000, N, 34, 
trial0000014, 000450, SNPR, 211, 6, 35.166667, SZIP, 1203, 10, 120.300000, 1, N, 
trial0000015, 000450, SNPR, 184, 6, 30.666667, SZIP, 1345, 10, 134.500000, 56, 72, 
trial0000016, 000450, SNPR, 233, 6, 38.833333, SZIP, 1019, 10, 101.900000, 51, 530, 
trial0000017, 000450, SNPR, 227, 6, 37.833333, SZIP, 1223, 10, 122.300000, 53, 55, 
trial0000018, 000450, SNPR, 215, 6, 35.833333, SZIP, 1025, 10, 102.500000, N, 59, 
trial0000019, 000450, SNPR, 228, 6, 38.000000, SZIP, 1029, 10, 102.900000, 55, 824, 
trial0000020, 000450, SNPR, 129, 6, 21.500000, SZIP, 1243, 10, 124.300000, 56, 761, 
trial0000021, 000450, SNPR, 188, 6, 31.333333, SZIP, 1307, 10, 130.700000, 1, 33, 
trial0000022, 000450, SNPR, 187, 6, 31.166667, SZIP, 1154, 10, 115.400000, 64, N, 
trial0000023, 000450, SNPR, 193, 6, 32.166667, SZIP, 1158, 10, 115.800000, 52, 953, 
trial0000024, 000450, SNPR, 251, 6, 41.833333, SZIP, 1110, 10, 111.000000, N, 39, 
trial0000025, 000450, SNPR, 168, 6, 28.000000, SZIP, 1129, 10, 112.900000, 55, 60, 
trial0000026, 000450, SNPR, 172, 6, 28.666667, SZIP, 891, 10, 89.100000, N, N, 
trial0000027, 000450, SNPR, 264, 6, 44.000000, SZIP, 1236, 10, 123.600000, 1, 54, 
trial0000028, 000450, SNPR, 358, 6, 59.666667, SZIP, 958, 10, 95.800000, 52, 909, 
trial0000029, 000450, SNPR, 117, 6, 19.500000, SZIP, 1172, 10, 117.200000, N, 55, 
trial0000030, 000450, SNPR, 221, 6, 36.833333, SZIP, 1136, 10, 113.600000, 58, 198, 
trial0000031, 000450, SNPR, 192, 6, 32.000000, SZIP, 1092, 10, 109.200000, N, 40, 
trial0000032, 000450, SNPR, 218, 6, 36.333333, SZIP, 1042, 10, 104.200000, 58, 334, 
trial0000033, 000450, SNPR, 189, 6, 31.500000, SZIP, 916, 10, 91.600000, 53, 368, 
trial0000034, 000450, SNPR, 236, 6, 39.333333, SZIP, 1170, 10, 117.000000, 64, 783, 
trial0000035, 000450, SNPR, 174, 6, 29.000000, SZIP, 1195, 10, 119.500000, 52, 146, 
trial0000036, 000450, SNPR, 250, 6, 41.666667, SZIP, 1293, 10, 129.300000, 1, 36, 
trial0000037, 000450, SNPR, 180, 6, 30.000000, SZIP, 1254, 10, 125.400000, 1, 89, 
trial0000038, 000450, SNPR, 238, 6, 39.666667, SZIP, 1105, 10, 110.500000, 52, 928, 
