trial0000041, 000450, SHVR, 2142, 20, 107.100000, SZIP, 296, 2, 148.000000, ZIP, 327, 2, 163.500000, 156, 163, 
trial0000042, 000450, SHVR, 1902, 20, 95.100000, SZIP, 325, 2, 162.500000, ZIP, 290, 2, 145.000000, 166, 168, 
trial0000043, 000450, SHVR, 1742, 20, 87.100000, SZIP, 271, 2, 135.500000, ZIP, 438, 2, 219.000000, 143, 144, 
trial0000044, 000450, SHVR, 2148, 20, 107.400000, SZIP, 299, 2, 149.500000, ZIP, 310, 2, 155.000000, 122, 146, 
trial0000045, 000450, SHVR, 1981, 20, 99.050000, SZIP, 258, 2, 129.000000, ZIP, 322, 2, 161.000000, 92, 147, 
trial0000046, 000450, SHVR, 1864, 20, 93.200000, SZIP, 329, 2, 164.500000, ZIP, 268, 2, 134.000000, 169, 261, 
trial0000047, 000450, SHVR, 2155, 20, 107.750000, SZIP, 284, 2, 142.000000, ZIP, 203, 2, 101.500000, 168, 925, 
trial0000048, 000450, SHVR, 2130, 20, 106.500000, SZIP, 390, 2, 195.000000, ZIP, 336, 2, 168.000000, N, 145, 
trial0000049, 000450, SHVR, 2049, 20, 102.450000, SZIP, 268, 2, 134.000000, ZIP, 320, 2, 160.000000, 145, 147, 
trial0000050, 000450, SHVR, 2185, 20, 109.250000, SZIP, 311, 2, 155.500000, ZIP, 223, 2, 111.500000, 169, 617, 
trial0000001, 000450, SHVR, 2366, 18, 131.444444, SZIP, 258, 2, 129.000000, ZIP, 537, 4, 134.250000, 142, 149, 
trial0000002, 000450, SHVR, 2084, 18, 115.777778, SZIP, 241, 2, 120.500000, ZIP, 616, 4, 154.000000, 136, 148, 
trial0000003, 000450, SHVR, 2239, 18, 124.388889, SZIP, 321, 2, 160.500000, ZIP, 547, 4, 136.750000, 137, 146, 
trial0000004, 000450, SHVR, 2002, 18, 111.222222, SZIP, 336, 2, 168.000000, ZIP, 697, 4, 174.250000, 146, 148, 
trial0000005, 000450, SHVR, 2182, 18, 121.222222, SZIP, 264, 2, 132.000000, ZIP, 470, 4, 117.500000, 127, 140, 
trial0000006, 000450, SHVR, 1898, 18, 105.444444, SZIP, 402, 2, 201.000000, ZIP, 727, 4, 181.750000, N, 163, 
trial0000007, 000450, SHVR, 2008, 18, 111.555556, SZIP, 363, 2, 181.500000, ZIP, 695, 4, 173.750000, 144, 148, 
trial0000008, 000450, SHVR, 2255, 18, 125.277778, SZIP, 318, 2, 159.000000, ZIP, 649, 4, 162.250000, 1, 148, 
trial0000009, 000450, SHVR, 1876, 18, 104.222222, SZIP, 382, 2, 191.000000, ZIP, 555, 4, 138.750000, 134, 145, 
trial0000010, 000450, SHVR, 2347, 18, 130.388889, SZIP, 378, 2, 189.000000, ZIP, 499, 4, 124.750000, 142, 143, 
trial0000011, 000450, SHVR, 2457, 18, 136.500000, SZIP, 231, 2, 115.500000, ZIP, 505, 4, 126.250000, 136, 145, 
trial0000012, 000450, SHVR, 2028, 18, 112.666667, SZIP, 306, 2, 153.000000, ZIP, 601, 4, 150.250000, 168, 179, 
trial0000013, 000450, SHVR, 1975, 18, 109.722222, SZIP, 329, 2, 164.500000, ZIP, 694, 4, 173.500000, 111, 144, 
trial0000014, 000450, SHVR, 2310, 18, 128.333333, SZIP, 265, 2, 132.500000, ZIP, 565, 4, 141.250000, 143, 149, 
trial0000015, 000450, SHVR, 1903, 18, 105.722222, SZIP, 292, 2, 146.000000, ZIP, 544, 4, 136.000000, 148, 149, 
trial0000016, 000450, SHVR, 1665, 18, 92.500000, SZIP, 263, 2, 131.500000, ZIP, 742, 4, 185.500000, 125, 139, 
trial0000017, 000450, SHVR, 2503, 18, 139.055556, SZIP, 153, 2, 76.500000, ZIP, 671, 4, 167.750000, 142, 149, 
