trial0000033, 000600, GVWY, 307, 2, 153.500000, SHVR, 204, 2, 102.000000, ZIC, 271, 2, 135.500000, ZIP, 3281, 26, 126.192308, 108, 112, 
trial0000034, 000600, GVWY, 286, 2, 143.000000, SHVR, 199, 2, 99.500000, ZIC, 239, 2, 119.500000, ZIP, 3382, 26, 130.076923, 127, 131, 
trial0000035, 000600, GVWY, 299, 2, 149.500000, SHVR, 196, 2, 98.000000, ZIC, 157, 2, 78.500000, ZIP, 3256, 26, 125.230769, 113, 114, 
trial0000036, 000600, GVWY, 286, 2, 143.000000, SHVR, 253, 2, 126.500000, ZIC, 232, 2, 116.000000, ZIP, 3299, 26, 126.884615, 107, 116, 
trial0000037, 000600, GVWY, 384, 2, 192.000000, SHVR, 210, 2, 105.000000, ZIC, 328, 2, 164.000000, ZIP, 3054, 26, 117.461538, 110, 117, 
trial0000038, 000600, GVWY, 278, 2, 139.000000, SHVR, 225, 2, 112.500000, ZIC, 246, 2, 123.000000, ZIP, 3303, 26, 127.038462, 110, 118, 
trial0000039, 000600, GVWY, 265, 2, 132.500000, SHVR, 180, 2, 90.000000, ZIC, 152, 2, 76.000000, ZIP, 3510, 26, 135.000000, 127, 134, 
trial0000040, 000600, GVWY, 324, 2, 162.000000, SHVR, 220, 2, 110.000000, ZIC, 237, 2, 118.500000, ZIP, 3214, 26, 123.615385, 113, 122, 
trial0000041, 000600, GVWY, 207, 2, 103.500000, SHVR, 235, 2, 117.500000, ZIC, 244, 2, 122.000000, ZIP, 3334, 26, 128.230769, 122, 129, 
trial0000042, 000600, GVWY, 346, 2, 173.000000, SHVR, 210, 2, 105.000000, ZIC, 164, 2, 82.000000, ZIP, 3075, 26, 118.269231, 123, 131, 
trial0000043, 000600, GVWY, 391, 2, 195.500000, SHVR, 244, 2, 122.000000, ZIC, 223, 2, 111.500000, ZIP, 3215, 26, 123.653846, 116, 119, 
trial0000044, 000600, GVWY, 284, 2, 142.000000, SHVR, 193, 2, 96.500000, ZIC, 235, 2, 117.500000, ZIP, 3284, 26, 126.307692, 113, 128, 
trial0000045, 000600, GVWY, 323, 2, 161.500000, SHVR, 268, 2, 134.000000, ZIC, 240, 2, 120.000000, ZIP, 3019, 26, 116.115385, 99, 116, 
trial0000046, 000600, GVWY, 267, 2, 133.500000, SHVR, 272, 2, 136.000000, ZIC, 197, 2, 98.500000, ZIP, 3087, 26, 118.730769, 119, 126, 
