trial0000011, 000450, SZIP, 424, 4, 106.000000, ZIP, 1355, 12, 112.916667, 159, 167, 
trial0000012, 000450, SZIP, 559, 4, 139.750000, ZIP, 1544, 12, 128.666667, 120, 144, 
trial0000013, 000450, SZIP, 529, 4, 132.250000, ZIP, 1555, 12, 129.583333, 161, 167, 
trial0000014, 000450, SZIP, 479, 4, 119.750000, ZIP, 1589, 12, 132.416667, 140, 151, 
trial0000015, 000450, SZIP, 490, 4, 122.500000, ZIP, 1451, 12, 120.916667, 148, 152, 
trial0000016, 000450, SZIP, 347, 4, 86.750000, ZIP, 1264, 12, 105.333333, 116, 152, 
trial0000017, 000450, SZIP, 638, 4, 159.500000, ZIP, 1340, 12, 111.666667, 137, 145, 
trial0000018, 000450, SZIP, 438, 4, 109.500000, ZIP, 1606, 12, 133.833333, N, N, 
trial0000019, 000450, SZIP, 455, 4, 113.750000, ZIP, 1456, 12, 121.333333, 113, 147, 
trial0000020, 000450, SZIP, 424, 4, 106.000000, ZIP, 1106, 12, 92.166667, 140, 148, 
trial0000021, 000450, SZIP, 413, 4, 103.250000, ZIP, 1540, 12, 128.333333, 134, N, 
trial0000022, 000450, SZIP, 461, 4, 115.250000, ZIP, 1540, 12, 128.333333, 124, 147, 
trial0000023, 000450, SZIP, 408, 4, 102.000000, ZIP, 1368, 12, 114.000000, 160, 164, 
trial0000024, 000450, SZIP, 448, 4, 112.000000, ZIP, 1572, 12, 131.000000, 163, 211, 
trial0000025, 000450, SZIP, 464, 4, 116.000000, ZIP, 1338, 12, 111.500000, 107, 192, 
trial0000026, 000450, SZIP, 542, 4, 135.500000, ZIP, 1250, 12, 104.166667, 114, 154, 
trial0000027, 000450, SZIP, 488, 4, 122.000000, ZIP, 1608, 12, 134.000000, 142, 153, 
trial0000028, 000450, SZIP, 447, 4, 111.750000, ZIP, 1277, 12, 106.416667, 142, 160, 
trial0000029, 000450, SZIP, 546, 4, 136.500000, ZIP, 1404, 12, 117.000000, 128, 141, 
trial0000030, 000450, SZIP, 521, 4, 130.250000, ZIP, 1243, 12, 103.583333, 146, 149, 
trial0000031, 000450, SZIP, 619, 4, 154.750000, ZIP, 1552, 12, 129.333333, 154, 161, 
trial0000032, 000450, SZIP, 520, 4, 130.000000, ZIP, 1200, 12, 100.000000, 132, 149, 
