12.375, 90
13.9375, 90
16.375, 90
25.8125, 90
25.9375, 91
26.375, 91
30.9375, 91
34.25, 92
38.4375, 92
41.1875, 93
51.3125, 93
54.1875, 93
55.25, 94
60.4375, 94
73.8125, 94
82.3125, 96
82.6875, 98
84.25, 99
84.4375, 99
89.6875, 99
91.5, 100
94.5, 100
100.5, 105
111.25, 103
112.875, 103
118.6875, 104
120.5625, 104
122.6875, 104
126.625, 106
135.25, 106
140.0625, 107
143.75, 107
143.875, 107
152.5, 107
153.875, 107
157.0, 107
162.75, 105
165.875, 107
173.4375, 103
179.75, 99
181.5, 98
188.375, 99
188.4375, 99
189.9375, 97
196.1875, 94
205.4375, 92
207.1875, 90
209.8125, 92
212.25, 90
213.375, 90
214.875, 95
217.5625, 110
219.9375, 91
233.1875, 93
239.375, 98
240.5625, 98
241.3125, 102
243.0, 104
251.75, 107
251.8125, 111
256.5, 115
265.875, 143
269.25, 137
272.0, 126
285.9375, 124
287.5, 124
287.8125, 126
290.8125, 126
299.0, 134
301.25, 131
301.5625, 127
317.875, 125
318.375, 123
319.3125, 117
319.375, 114
320.3125, 111
327.375, 90
332.75, 114
333.5625, 114
337.6875, 94
347.1875, 105
348.5625, 116
354.25, 120
356.3125, 121
362.375, 157
368.875, 159
372.8125, 158
380.125, 158
380.1875, 155
386.5625, 155
387.0, 141
390.9375, 104
400.0, 122
403.5625, 115
408.375, 112
413.125, 110
414.9375, 109
416.5, 104
422.875, 140
429.3125, 155
432.4375, 158
437.5625, 146
441.4375, 148
443.9375, 167
449.1875, 150
